type,name,label,required,default,relevant,appearance,constraint,constraint_message::English (en),label::Arabic (ar),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::Arabic (ar),repeat_count
select_one relation_HoH,relation_HoH,"If no, what is the relationship to the head of household? ",yes,,"selected(${HoH},'no')",quick,,,"??? ???? ??????? ""??"", ???? ??? ????? ???????? ??? ???????",,,,,,
integer,age_HoH,How old is the head of the household?,yes,,,,. >= 18 and .<100,Head of Household needs to be above 18,?? ?? ??? ?? ???????,??? ?? ???? ?? ?????? ??? 18 ?????,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
select_one male_female,sex_HoH,What is the sex of the head of household?,yes,,,quick,"if(selected(${relation_HoH},'wife'),not(selected(.,'female')),if(selected(${relation_HoH},'husband'),not(selected(.,'male')),count-selected(.)=1))","If relation to HoH is wife, sex HoH female cannot be selected, If relation to HoH is husband, sex HoH male cannot be selected",?? ?? ??? ?? ???????,"?? ????? ""????"" ?? ?????? ?????? ?? ???? ?????? ""????""? ?? ????? ""???"" ?? ?????? ?????? ?? ???? ?????? ""??? """,,,,,
integer,nb_ind_hh,How many people live in your household ? (including the interviewee and hosted people economically dependent upon you),yes,,,,"if(selected(${HoH},'no'), . >= 2, .>=1)","Minimum 1 person, if the interviewee is not the HoH then Minimum 2 ",?? ??? ??????? ????? ?????? ?? ?????? ??? ?? ??? ????? ???? ????? ??? ???????? ???????? ?????????? ????? ??????? ???? ?????????,"????? ?????? ?? 1, ??? ??? ???????? ??? ??/??? ????? ?????? ?????? ?? 2  ",,,,"??????: ""?????? ?? ??????? ????? ?????? ???? ??? ??? ???? ????????? ??? ??????"". ??? ???? ???? ???????? ?????? ??? ??? ????? ? ???? ??????? ????????? ? ?????? ??? ?????? ?????",
begin_group,hh_roster_male,Please tell me how many males there are of the following in your household ?,yes,,,field-list,,,?? ??? ?????? ?? ?? ??? ?? ????? ??? ?? ??? ????? ???? ??? ???????,,,,Write 0 if there are no individuals in a category,?? 0 ?? ?? ??? ???? ????? ?? ????? ,
integer,nb_infants_male,Infants 0-5years:,yes,,,,.>=0 and .<20,Value must be between 0 and 20,????? (0 - 5 ?????),,,,,,
integer,nb_children_male,Children 6-14 years:,yes,,,,.>=0 and .<20,Value must be between 0 and 20,??????? (6-14 ???),,,,,,
integer,nb_youth_male,Youth 15-17 years:,yes,,,,.>=0 and .<20,Value must be between 0 and 20,?????? (15-17 ???),,,,,,
integer,nb_adults_male,Adults 18-64:,yes,,,,"if((${age_HoH}<65 and selected(${sex_HoH} ,'male')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is an adult",?????? (18 - 64 ???),"?? ???? ?? ???? ????? ? ?? ?????? ??? ????",,,,,
integer,nb_elderly_male,Elderly 65+ years:,yes,,,,"if((${age_HoH}>=65 and selected(${sex_HoH} ,'male')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is an elderly",???? ???? (65+ ??? ,"?? ???? ?? ???? ???? ? ?? ?????? ?? ???? ????",,,,,
end_group,,,,,,,,,,,,,,,
calculate,calcul_nb_ind_hh_male,,,,,,,,,,,${nb_infants_male}+${nb_children_male}+${nb_youth_male}+${nb_adults_male}+${nb_elderly_male},,,
calculate,calcul_nb_under18_male,,,,,,,,,,,${nb_infants_male}+${nb_children_male}+${nb_youth_male},,,
calculate,calcul_nb_over18_male,,,,,,,,,,,${nb_adults_male}+${nb_elderly_male},,,
begin_group,hh_roster_female,Please tell me how many female there are of the following in your household ?,yes,,,field-list,,,???? ?? ?????? ?? ??? ?? ??? ?? ?????? ?? ??????,,,,Write 0 if there are no individuals in a category,?? 0 ?? ?? ??? ???? ????? ?? ????? ,
integer,nb_infants_female,Infants 0-5years:,yes,,,,.>=0 and .<20,Value must be between 0 and 20,????? (0 - 5 ?????),,,,,,
integer,nb_children_female,Children 6-14 years:,yes,,,,.>=0 and .<20,Value must be between 0 and 20,??????? (6-14 ???),,,,,,
integer,nb_youth_female,Youth 15-17 years:,yes,,,,.>=0 and .<20,Value must be between 0 and 20,?????? (15-17 ???),,,,,,
integer,nb_adults_female,Adults 18-64:,yes,,,,"if((${age_HoH}<65 and selected(${sex_HoH} ,'female')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is an adult",?????? (18 - 64 ???),"?? ???? ?? ???? ????? ? ?? ?????? ??? ????",,,,,
integer,nb_elderly_female,Elderly 65+ years:,yes,,,,"if((${age_HoH}>=65 and selected(${sex_HoH} ,'female')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is an elderly",???? ???? (65+ ??? ,"?? ???? ?? ???? ???? ? ?? ?????? ?? ???? ????",,,,,
end_group,,,,,,,,,,,,,,,
calculate,calcul_nb_ind_hh_female,,,,,,,,,,,${nb_infants_female}+${nb_children_female}+${nb_youth_female}+${nb_adults_female}+${nb_elderly_female},,,
calculate,calcul_nb_under18_female,,,,,,,,,,,${nb_infants_female}+${nb_children_female}+${nb_youth_female},,,
calculate,calcul_nb_over18_female,,,,,,,,,,,${nb_adults_female}+${nb_elderly_female},,,
calculate,calcul_nb_ind_hh,,,,,,,,,,,${calcul_nb_ind_hh_female} + ${calcul_nb_ind_hh_male},,,
calculate,calcul_nb_under18,,,,,,,,,,,${calcul_nb_under18_female} + ${calcul_nb_under18_male},,,
calculate,calcul_nb_over18,,,,,,,,,,,${calcul_nb_over18_female} + ${calcul_nb_over18_male},,,
note,error,The total number of individuals mentioned here is not equal to the one you mentioned earlier ,yes,,${calcul_nb_ind_hh}!=${nb_ind_hh},,,,????? ?????? ?????? ????????? ??? ?? ????? ????? ???? ?? ?????? ??????  ,,,,,,
select_one yes_no,hosting_displaced,Are you currently hosting family members or others that have been displaced from another place in the mantika or Libya?,yes,,,quick,,,?? ?????? ????? ????? ??????? ?? ????? ??? ????? ?? ???? ??? ???? ??? ??????? ?? ?? ??????,,,,,,
integer,nb_displaced_hosted,"If yes, how many?",yes,,"selected(${hosting_displaced},'yes')",,. <= ${nb_ind_hh},number of hosted members can't exceed the total household members,"??? ??? ?????? ???? ?? ??????",?? ???? ?? ?????? ??? ??????? ?????????? ?????? ????? ??????,,,,,
integer,nb_minordisplaced_hosted,"If yes, how many hosted persons are under 18?",yes,,"selected(${hosting_displaced},'yes')",,(. <= ${calcul_nb_under18} and .<=${nb_displaced_hosted}) or .=99,number of under 18 hosted people can't exceed the number of total hosted people,"?? ??? ?????? ???, ?? ??? ??????? ?????????? ??? ?? 18 ?",?? ???? ?? ?????? ??? ??????? ????? ??? ??????? ?? 18 ????? ??? ??????? ??????????,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,nb_minor_unaccompanied,How many children in your household do not have any family relationship to any adult member of the household?,yes,,${nb_minordisplaced_hosted}>0,,.<=${nb_minordisplaced_hosted} or .=99,,?? ??? ??????? ?? ????? ????? ??? ????? ?? ????? ?????? ??? ??? ???? ?? ????? ???????,????? ???? ?? ?????? ???? ?? ??? ??????? ??? 18 ??? ?????????? ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,food_security,Food Security,yes,,,,,,????? ???????,,,,,,
begin_group,food_consumption,"In the past 7 days, on how many days have the members of your household eaten the following food items? Integer from 0 to 7 for each sub-question",yes,,,field-list,,,"???? ?????? ?????? ???????? ?? ??? ?????? ???? ??? ???? ?? ????? ????? ????? ??????? ??????? ?",,,,,,
integer,cereals,"1. Cereals, grains, and tubers (including wheat bread, pasta, rice, couscous, potatoes, etc.)",yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7, ?????? ???????? (??? ?? ??? ??? ????? ?????????? ?????? ???????? ???????? ??????),??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,legumes,"2. Legumes and nuts (including beans, chickpeas, peas, nuts, etc.)",yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7,"????????? ????????? (??? ?? ??? ????? ?????? ????????? ????????? ? ???)",??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,dairy,"3. Milk and dairy products (including milk, cheese, sour cream, yoghurt, etc.)",yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7,"?????? ??????? ??????? (??? ?? ??? ?????? ?????? ??????? ??????? ?????? ? ??? ??? ???)",??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,meat,"4. Eggs, meat, fish (including beef, chicken, lamb, canned fish, fresh fish, etc.)",yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7,"????? ??????? ???????? (??? ?? ??? ???? ????? ??????? ???? ????? ???????? ??????? ???????? ??????? ? ??? ??? ???)",??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,veggies,"5. Vegetables and leaves (including onions, lettuce, tomatoes, cucumbers, red peppers, spinach, etc.)",yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7,"???????? ????????? ??????? (??? ?? ??? ????? ????? ???????? ??????? ??????? ?????? ???????? ? ???)",??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,fruits,"6. Fruits (including bananas, apples, cherries, dates, lemons, apricots, pears, etc.)",yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7," ??????? (??? ?? ??? ????? ? ?????? ? ????? ? ?????? ? ??????? ? ?????? ? ??????? ? ???.)",??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,fats,"7. Oil and fat (including vegetable oil, butter, margarine, lard, etc.)",yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7,?????? ??????? (??? ?? ??? ????? ??????? ??????? ?????? ??????? ??????),??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,sugar,"8. Sugar and sweets (including sugar, honey, jam, cakes, cookies, sweets, sugary drinks, etc.)",yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7,????? ????????? (??? ?? ??? ????? ?????? ??????? ?????? ????????? ????????? ?????????? ??????? ??????),??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,condiments,"9. Condiments and spices (including garlic, tomato paste, and small quantities of items from other food groups)",yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7,???????? ???????? (??? ?? ??? ????? ?????? ??????? ?????? ????? ?? ?????? ?? ????????? ???????? ??????),??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
end_group,,,,,,,,,,,,,,,
select_multiple food_source,food_source,What are the top three sources from which your household typically acquires food?,yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and count-selected(.)<=3 or count-selected(.) = 1",Choose 3 options maximum,???? ??? ????? ????? ???? ????  ????? ??? ???????,???? 3 ?????? ??? ????,,,,(??? ???? ?????),
text,food_source_other,Other:,yes,,"selected(${food_source},'other')",,,,???:,,,,,,
begin_group,food_coping,"In the past 7 days, if there have been times when you did not have enough food or money to buy food, on how many days has your household had to: (Integer from 0 to 7 for each sub-question)",yes,,,field-list,,,"???? ?????? ?????? ???????? ?? ??? ???? ??? ????? ?????? ??? ?????? ??? ??? ??? ?????? ?????? ?????? ?????? ???????",,,,,,
integer,less_expensive_quality,"1. Rely on less preferred, less expensive food?",yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7,"???? ????? ??? ????? ???? ????
",??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,borrow_relatives,2. Borrow food or rely on help from friends or relatives?,yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7,??????? ?????? ?? ???????? ?? ???????,??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,reduce_number_meals,3. Reduce the number of meals eaten per day?,yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7,????? ??? ??????? ?? ?????,??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,shrink_meals,4. Reduce the size of portions or meals?,yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7,????? ??? ???????,??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,reduce_adult,5. Reduce the quantity consumed by adults so children could eat?,yes,,,,(.>=0 and .<=7) or .=99,Value must be between 0 and 7,????? ??? ???????? ?? ?????? ?????? ??????? ?????? ?????? ,??? ?? ???? ????? ??? 0 ? 7 ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
end_group,,,,,,,,,,,,,,,
select_multiple agricultural_production,agricultural_production,"Is your household currently engaged in any form of agricultural production (for example, crop farming, gardening, raising livestock, fishing, etc.)?",yes,,,,"if(selected(${food_source},'own_production'),not(selected(.,'no')),not(selected(.,'no')) or count-selected(.)=1)","the option ""No"" can't be selected with other options and can't be selected when the food source os ""own production""","?? ???? ????? ????? ?? ?? ??? ?? ????? ??????? ??????? (??? ???? ?????? ? ????? ???????? ? ??????? ? ????? ??????? ? ????? ? ???)?","?? ???? ????? ?????? ""??"" ??????? ???? ??? ?? ????? ??? ????? ????",,,,????? ???????? ,
text,agricultural_production_other,"If other, Please specify",yes,,"selected(${agricultural_production}, 'other')",,,,??? ???: ____,,,,,,
select_multiple usage_prod_food,usage_prod_food,"If answer is not ""No"": Do you do this for income generation or for your household's own consumption?",yes,,"not(selected(${agricultural_production},'no'))",,"if(selected(${food_source},'own_production'),selected(.,'hh_own_prod'),count-selected(.)>0)","When one of food sources is ""own production"" the option ""household own consumption"" must be selected","??? ??? ?????? ?????? ?? ""??"": ?? ???? ???? ?? ??? ????? ????  ??? ?? ???????? ??????","????? ???? ???? ?? ????? ?????? ????? ???? ?????? ""???????? ?????"" ?????  ",,,,????? ???????? ,
select_one yes_no_dk_dwta,access_land_sea,"If ""No"": Does your household currently have access to land or to the sea to engage in such activities?",yes,,"selected(${agricultural_production},'no')",quick,,,"??? ???? ??????? ""??"": ?? ???? ????? ?????? ??????? ?????? ??? ????? ?? ????? ???????? ?? ??? ??? ????????",,,,,,
select_one yes_no_dk_dwta,engage_agriculture_prior2014,"If ""No"": Did your household engage in such activities prior to 2014 but had to give them up?",yes,,"selected(${agricultural_production},'no')",quick,,,"??? ???? ??????? ""??"": ?? ????? ????? ?? ??? ??? ??????? ??? ??? 2014 ???? ??? ????? ?????? ?????",,,,,,
select_multiple crops_grown,crops_grown,"If ""Yes, in crop farming or gardening"":
What are the main crops your household currently grows?",yes,,"selected(${agricultural_production},'yes_crop_farming_gardening')",,,,"??? ???? ??????? ""??? ? ?? ????? ???????? ?? ???????"":
?? ?? ???????? ???????? ???? ?????? ????? ??????",,,,,????? ???????? ,
text,crops_grown_other,"If other, Please specify",yes,,"selected(${crops_grown},'other')",,,,??? ???: ____,,,,,,
select_one nb_hectares_cultivated,nb_hectares_cultivated,"If ""Yes, in crop farming or gardening"":
How much land does your household cultivate in hectares?",yes,,"selected(${agricultural_production},'yes_crop_farming_gardening')",quick,,,"??? ???? ??????? ""??? ? ?? ????? ???????? ?? ???????"":
?? ????? ????? ???? ?????? ????? ???????????",,,,,,
integer,nb_others_employed,"If ""Yes, in crop farming or gardening"":
How many individuals, if any, did your household employ to support production in the last 12 months, including seasonal workers?",yes,,"selected(${agricultural_production},'yes_crop_farming_gardening')",,. >=0,,"??? ???? ??????? ""??? ? ?? ????? ???????? ?? ???????"":
?? ??? ??????? ? ?? ??? ? ???? ????????? ????? ???? ??????? ?? ?????? ??? 12 ??????? ? ??? ?? ??? ?????? ??????????",,,,"If none, enter 0",,
select_multiple crop_crisis,crop_crisis,"If ""Yes, in crop farming or gardening"":
How has the current crisis affected your crop production, if at all?",yes,,"selected(${agricultural_production},'yes_crop_farming_gardening')",,"not(selected(., 'crop_not_affected')) or count-selected(.) = 1","the option ""Production has not been negatively affected"" can't be selected with other options","??? ???? ??????? ""??? ? ?? ????? ???????? ?? ???????"":
??? ???? ?????? ??????? ??? ????? ???????? ? ?? ?????","?? ???? ????? ???? ""??????? ?? ????? ?????"" ?? ?????? ????",,,,????? ???????? ,
text,crop_crisis_other,"If other, Please specify",yes,,"selected(${crop_crisis}, 'other')",,,,??? ?? ??? ????? ??? ???,,,,,,
begin_group,nb_animals,"If ""Yes, in raising livestock"":
How many of each type of animal does your household currently own?",yes,,"selected(${agricultural_production},'yes_raising_livestock')",field-list,,,"??? ""??? ? ?? ????? ???????"": ?? ??? ????? ????????? ???? ??????? ?????? ???????",,,,,,
integer,cows,1. Cows,yes,,,,. >=0,,1. ???????,,,,"If none, enter 0",??? ?? ??? ???? 0,
integer,donkeys_horses,2. Donkeys and horses,yes,,,,. >=0,,2. ?????? ???????,,,,"If none, enter 0",??? ?? ??? ???? 0,
integer,sheep,3. Sheep,yes,,,,. >=0,,3. ???????,,,,"If none, enter 0",??? ?? ??? ???? 0,
integer,goats,4. Goats,yes,,,,. >=0,,4. ??????,,,,"If none, enter 0",??? ?? ??? ???? 0,
integer,poultry,5. Poultry,yes,,,,. >=0,,5. ???????,,,,"If none, enter 0",??? ?? ??? ???? 0,
integer,camels,6. Camels,yes,,,,. >=0,,6. ??????,,,,"If none, enter 0",??? ?? ??? ???? 0,
integer,other_animals,7. Other (please specify),yes,,,,. >=0,,7. ??? ??? (???? ???????),,,,"If none, enter 0",??? ?? ??? ???? 0,
end_group,,,,,,,,,,,,,,,
text,nb_animals_other,"If other, Please specify",yes,,${other_animals} >0,,,,??? ?? ??? ????? ??? ???,,,,,,
select_multiple livestock_crisis,livestock_crisis,"If ""Yes, in raising livestock"":
How has the current crisis affected your livestock activities, if at all?",yes,,"selected(${agricultural_production},'yes_raising_livestock')",,"not(selected(., 'livestock_not_affected')) or count-selected(.) = 1","the option ""Production has not been negatively affected"" can't be selected with other options","??? ""??? ? ?? ????? ???????"":
??? ???? ?????? ??????? ??? ????? ?????? ????????? ? ?? ?????","?? ???? ????? ???? ""??????? ?? ????? ?????"" ?? ?????? ????",,,,????? ???????? ,
text,livestock_crisis_other,"If other, Please specify",yes,,"selected(${livestock_crisis}, 'other')",,,,??? ?? ??? ????? ??? ???,,,,,,
select_one source_fish,source_fish,"If ""Yes, in fishing or fisheries"":
What is the main source of your production or catch?",yes,,"selected(${agricultural_production},'yes_fishing_fisheries')",quick,,,"??? ""??? ? ?? ????? 
?? ?? ?????? ??????? ??????? ?? ??????",,,,,,
text,source_fish_other,"If other, Please specify",yes,,"selected(${source_fish}, 'other')",,,,??? ?? ??? ????? ??? ???,,,,,,
select_multiple fish_crisis,fish_crisis,"If ""Yes, in fishing or fisheries"":
How has the current crisis affected your fishing or fishery activities, if at all?",yes,,"selected(${agricultural_production},'yes_fishing_fisheries')",,"not(selected(., 'fisheries_not_affected')) or count-selected(.) = 1","the option ""Activities have not been negatively affected"" can't be selected with other options","??? ""??? ? ?? ????? ?? ?????? ??????? ""
??? ???? ?????? ??????? ??? ????? ?????  ?????? ??? ?? ?????","?? ???? ????? ???? ""??????? ???? ?? ????? ?????"" ?? ?????? ????",,,,????? ???????? ,
text,fish_crisis_other,"If other, Please specify",yes,,"selected(${fish_crisis}, 'other')",,,,??? ?? ??? ????? ??? ???,,,,,,
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,shelter,Shelter and NFI,yes,,,,,,??????,,,,,,
select_multiple access_mobile_network,access_mobile_network,Which mobile networks does your household currently have access to?,yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and not(selected(., 'no_access_mobile_network')) or count-selected(.) = 1",some options can't be selected with other options,?? ????? ??????? ???? ???? ?????? ?????? ????? ???????,??? ???????? ?? ???? ???????? ?? ?????? ????,,,Please only select networks that the household is currently able to access through a functioning SIM card or mobile device,???? ????? ??????? ???? ?????? ????? ?????? ?????? ????? ?????? ?? ???? ????? SIM ?? ???? ????? ????,
text,access_mobile_network_other,"if other, please specify",yes,,"selected(${access_mobile_network},'other')",,,,??? ?? ??? ????? ??? ???,,,,,,
select_one dwelling_type,dwelling_type,What type of shelter do you live in?,yes,,,quick,,,?? ?? ??? ?????? ???? ???? ????,,,,,,
select_one occupancy_type,occupancy_type,How would you describe your household's occupancy status?,yes,,,quick,"if(selected(${dwelling_type},'public_space') or selected(${dwelling_type},'camp'), .!='rented_written_contract' and .!='rented_verbal_agreement' and .!='owned', count-selected(.)=1)","If public space or camp is selected above, the options ownership and renting cannot be selected ",?? ?? ????? ????????,??? ??? ?????? ?? ???? ?? ???? ??? ??? ???? ???????? ?? ??????.,,,,,
text,occupancy_type_other,Other:,,,"selected(${occupancy_type},'other')",,,,?????,,,,,,
begin_group,dwelling_roster,How many rooms in your household's shelter are:,yes,,,,,,?? ??? ????? ?? ???? ?????? ???????? ??????? ,,,,,,
integer,damaged_room,1. Damaged?,yes,,,,. >=0,,?????? ,,,,,,
integer,undamaged_room,2. Undamaged?,yes,,,,. >=0,,??? ?????? ,,,,,,
integer,open_elements_room,"3. Open to the elements (e.g. broken or missing windows, holes in walls, etc.)?",yes,,,,. >=0,,"????? ?????? ?? ?????? ? ???? ?? ???????",,,,,,
end_group,,,,,,,,,,,,,,,
select_one damage_type,shelter_condition,Question for enumerator: How would you describe the overall condition of this household's shelter? Please refer to the reference pictures below.,yes,,,quick,,,"???? ????? ????????: ??? ??? ?????? ?????? ????? ??? ??????? ???? ?????? ??? ????? ???????? ?????. (?????. ??????? ???? ????? ?? ?????? ???? ?? ??????? ??????? ??? ?? ???? ??? ???? ""?? ??? / ??? ?? ????"".)",,,,"Shelters that were damaged in the past but have been fully repaired should be coded as ""No damage / negligible damage","??? ?????? ??????? ???? ????? ?? ?????? ???? ?? ??????? ??????? ""?? ??? / ??? ?? ????",
select_one threat_eviction,threat_eviction,Has your household experienced eviction or the threat of eviction within the past 6 months?,yes,,,quick,,,?? ????? (?? 6 ???????????) ??????? ?? ??????? ???????? ?????,,,,,,
select_multiple reason_eviction,eviction_reason,If yes: Why do you think your household was evicted / is being threatened with eviction?,yes,,"not(selected(${occupancy_type},'owned') or selected(${occupancy_type},'dk') or selected(${occupancy_type},'dwta')) and (selected(${threat_eviction},'yes_threat_eviction') or selected(${threat_eviction},'recently_evicted'))",,"not(selected(., 'dk')) and not(selected(., 'dwta')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,"??? ??? ?????? ???, ????? ????? ??? ???? ???????? / ?? ?????? ??????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,????? ???????? ,
text,eviction_reason_other,Other:,yes,,"selected(${eviction_reason},'other')",,,,????? ????,,,,,,
select_one elec_source,first_electricity_source,What is the most common source of electricity used by your household? ,yes,,,quick,,,?? ?? ?????? ?????? ????? ???????? ???? ???????? ??????,,,,,,
text,first_electricity_source_other,Other:,yes,,"selected(${first_electricity_source},'other')",,,,???? (???),,,,,,
