COMPOSITE INDICATORS: WEIGHTED COUNTS,,,,,,,,
only white cells should be filled out. Blue are only haeders. Grey are documentation / empy cells,Enter a variable name for the new indicator you want to create. This should be the same for all rows within one indicator block (dark blue heading),Enter the name of the variable going into the composite indicator. The  spelling must exactly match the column header in the dataset - select from the drop down. This should be the same for one input variable block (light blue header),the type of the condition. ,value that the variable takes on to be counted in the composite indicator. All answers not specified will be counted as 0,weight in the composite indicator if the variable takes on the value in D,,,
,Health_index,chronicdisease_medecine,3. No access,Equal,2,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,Health_PIN,Health_index,1,Smaller Equal,0,,,
,Health_PIN,Health_index,1,Larger,1,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,calcul_jobs_minors_nb,1,Larger Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,calc_nb_irregular_work,1,Larger Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,obtaining_cash_to_meet_needs,yes,Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,cash_withdraw,"2. No, unable to withdraw any money",Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,access_market_place,No,Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,barrier_marketplace,0. No barriers faced when accessing marketplace,Equal,0,,,
,Cash & Livelihoods_index,barrier_marketplace,,Else,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,barrier_marketitem,"0. No, no barrier faced when purchasing market items",Equal,0,,,
,Cash & Livelihoods_index,barrier_marketitem,,Else,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,sell_non_productive_asset,1. Yes,Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,sell_productive_asset,1. Yes,Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,spent_savings,1. Yes,Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,borrow_money,1. Yes,Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,purchase_on_credit,1. Yes,Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,reduce_expense_nfi,1. Yes,Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,reduce_expense_health,1. Yes,Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,delay_skip_rent,1. Yes,Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,begging,1. Yes,Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,additional_job,1. Yes,Equal,1,,,
input variable,,,,,,,,
,Cash & Livelihoods_index,degrading_illegal_work,1. Yes,Equal,1,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,Cash & Livelihoods_PIN,Cash & Livelihoods_index,1,Smaller Equal,0,,,
,Cash & Livelihoods_PIN,Cash & Livelihoods_index,1,Larger,1,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,Protection_index,lost_doc_impact,8. Loss of document did not affect my access to any services,Equal,0,,,
,Protection_index,lost_doc_impact,9. Don’t know,Equal,0,,,
,Protection_index,lost_doc_impact,10. Prefer not to answer,Equal,0,,,
,Protection_index,lost_doc_impact,,Else,1,,,
input variable,,,,,,,,
,Protection_index,age_HoH,17,Smaller Equal,1,,,
,Protection_index,age_HoH,,Else,0,,,
input variable,,,,,,,,
,Protection_PIN,Protection_index,1,Smaller Equal,0,,,
,Protection_PIN,Protection_index,1,Larger,1,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,fcs_score,cereals,0,Equal,0,,,
,fcs_score,cereals,1,Equal,2,,,
,fcs_score,cereals,2,Equal,4,,,
,fcs_score,cereals,3,Equal,6,,,
,fcs_score,cereals,4,Equal,8,,,
,fcs_score,cereals,5,Equal,10,,,
,fcs_score,cereals,6,Equal,12,,,
,fcs_score,cereals,7,Equal,14,,,
,fcs_score,cereals,,Else,0,,,
input variable,,,,,,,,
,fcs_score,legumes,0,Equal,0,,,
,fcs_score,legumes,1,Equal,3,,,
,fcs_score,legumes,2,Equal,6,,,
,fcs_score,legumes,3,Equal,9,,,
,fcs_score,legumes,4,Equal,12,,,
,fcs_score,legumes,5,Equal,15,,,
,fcs_score,legumes,6,Equal,18,,,
,fcs_score,legumes,7,Equal,21,,,
,fcs_score,legumes,,Else,0,,,
input variable,,,,,,,,
,fcs_score,dairy,0,Equal,0,,,
,fcs_score,dairy,1,Equal,4,,,
,fcs_score,dairy,2,Equal,8,,,
,fcs_score,dairy,3,Equal,12,,,
,fcs_score,dairy,4,Equal,16,,,
,fcs_score,dairy,5,Equal,20,,,
,fcs_score,dairy,6,Equal,24,,,
,fcs_score,dairy,7,Equal,28,,,
,fcs_score,dairy,,Else,0,,,
input variable,,,,,,,,
,fcs_score,meat,0,Equal,0,,,
,fcs_score,meat,1,Equal,4,,,
,fcs_score,meat,2,Equal,8,,,
,fcs_score,meat,3,Equal,12,,,
,fcs_score,meat,4,Equal,16,,,
,fcs_score,meat,5,Equal,20,,,
,fcs_score,meat,6,Equal,24,,,
,fcs_score,meat,7,Equal,28,,,
,fcs_score,meat,,Else,0,,,
input variable,,,,,,,,
,fcs_score,veggies,0,Equal,0,,,
,fcs_score,veggies,1,Equal,1,,,
,fcs_score,veggies,2,Equal,2,,,
,fcs_score,veggies,3,Equal,3,,,
,fcs_score,veggies,4,Equal,4,,,
,fcs_score,veggies,5,Equal,5,,,
,fcs_score,veggies,6,Equal,6,,,
,fcs_score,veggies,7,Equal,7,,,
,fcs_score,veggies,,Else,0,,,
input variable,,,,,,,,
,fcs_score,fruits,0,Equal,0,,,
,fcs_score,fruits,1,Equal,1,,,
,fcs_score,fruits,2,Equal,2,,,
,fcs_score,fruits,3,Equal,3,,,
,fcs_score,fruits,4,Equal,4,,,
,fcs_score,fruits,5,Equal,5,,,
,fcs_score,fruits,6,Equal,6,,,
,fcs_score,fruits,7,Equal,7,,,
,fcs_score,fruits,,Else,0,,,
input variable,,,,,,,,
,fcs_score,fats,0,Equal,0,,,
,fcs_score,fats,1,Equal,0.5,,,
,fcs_score,fats,2,Equal,1,,,
,fcs_score,fats,3,Equal,1.5,,,
,fcs_score,fats,4,Equal,2,,,
,fcs_score,fats,5,Equal,2.5,,,
,fcs_score,fats,6,Equal,3,,,
,fcs_score,fats,7,Equal,3.5,,,
,fcs_score,fats,,Else,0,,,
input variable,,,,,,,,
,fcs_score,sugar,0,Equal,0,,,
,fcs_score,sugar,1,Equal,0.5,,,
,fcs_score,sugar,2,Equal,1,,,
,fcs_score,sugar,3,Equal,1.5,,,
,fcs_score,sugar,4,Equal,2,,,
,fcs_score,sugar,5,Equal,2.5,,,
,fcs_score,sugar,6,Equal,3,,,
,fcs_score,sugar,7,Equal,3.5,,,
,fcs_score,sugar,,Else,0,,,
input variable,,,,,,,,
,fcs_score,condiments,0,Equal,0,,,
,fcs_score,condiments,1,Equal,0.5,,,
,fcs_score,condiments,2,Equal,1,,,
,fcs_score,condiments,3,Equal,1.5,,,
,fcs_score,condiments,4,Equal,2,,,
,fcs_score,condiments,5,Equal,2.5,,,
,fcs_score,condiments,6,Equal,3,,,
,fcs_score,condiments,7,Equal,3.5,,,
,fcs_score,condiments,,Else,0,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,fcs_poor,fcs_score,28,Smaller Equal,1,,,
,fcs_poor,fcs_score,28,Larger,0,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,fcs_borderline,fcs_score,42,Smaller Equal,1,,,
,fcs_borderline,fcs_score,42,Larger,0,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,food_PIN_index,fcs_poor,1,Equal,1,,,
,food_PIN_index,fcs_poor,0,Equal,0,,,
input variable,,,,,,,,
,food_PIN_index,fcs_borderline,1,Equal,1,,,
,food_PIN_index,fcs_borderline,0,Equal,0,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,food_PIN,food_PIN_index,1,Smaller Equal,0,,,
,food_PIN,food_PIN_index,1,Larger,1,,,
