FID *,Shape *,admin2Name *,admin2Pcod,admin2RefN,admin1Pcod,admin0Name,admin0Pcod,LGA_Name,num_1_ans
63,Polygon,Argungu,NG022003,Argungu,NG022,Nigeria,NG,ARGUNGU,1
64,Polygon,Arochukwu,NG001003,Arochukwu,NG001,Nigeria,NG,AROCHUKWU,1
65,Polygon,Asa,NG024001,Asa,NG024,Nigeria,NG,ASA,1
66,Polygon,Asari-Toru,NG033006,Asari-Toru,NG033,Nigeria,NG,ASARI-TORU,1
67,Polygon,Atakumosa East,NG030003,Atakumosa East,NG030,Nigeria,NG,ATAKUMOSA EAST,1
68,Polygon,Atakumosa West,NG030004,Atakumosa West,NG030,Nigeria,NG,ATAKUMOSA WEST,1
69,Polygon,Atiba,NG031003,Atiba,NG031,Nigeria,NG,ATIBA,1
70,Polygon,Atigbo,NG031004,Atigbo,NG031,Nigeria,NG,ATIGBO,1
71,Polygon,Augie,NG022004,Augie,NG022,Nigeria,NG,AUGIE,1
72,Polygon,Auyo,NG018001,Auyo,NG018,Nigeria,NG,AUYO,1
73,Polygon,Awe,NG026002,Awe,NG026,Nigeria,NG,AWE,1
74,Polygon,Awgu,NG014002,Awgu,NG014,Nigeria,NG,AWGU,1
75,Polygon,Awka North,NG004005,Awka North,NG004,Nigeria,NG,AWKA NORTH,1
76,Polygon,Awka South,NG004006,Awka South,NG004,Nigeria,NG,AWKA SOUTH,1
77,Polygon,Ayamelum,NG004007,Ayamelum,NG004,Nigeria,NG,AYAMELUM,1
78,Polygon,Babura,NG018002,Babura,NG018,Nigeria,NG,BABURA,1
79,Polygon,Badagry,NG025006,Badagry,NG025,Nigeria,NG,BADAGRY,1
80,Polygon,Bade,NG036001,Bade,NG036,Nigeria,NG,BADE,1
81,Polygon,Bagudo,NG022005,Bagudo,NG022,Nigeria,NG,BAGUDO,1
82,Polygon,Bagwai,NG020003,Bagwai,NG020,Nigeria,NG,BAGWAI,1
83,Polygon,Akpabuyo,NG009003,Akpabuyo,NG009,Nigeria,NG,AKPABUYO,1
84,Polygon,Bakori,NG021001,Bakori,NG021,Nigeria,NG,BAKORI,1
85,Polygon,Bakura,NG037002,Bakura,NG037,Nigeria,NG,BAKURA,1
86,Polygon,Balanga,NG016002,Balanga,NG016,Nigeria,NG,BALANGA,1
87,Polygon,Bali,NG035002,Bali,NG035,Nigeria,NG,BALI,1
88,Polygon,Barikin Ladi,NG032001,Barikin Ladi,NG032,Nigeria,NG,BARIKIN LADI,1
89,Polygon,Baruten,NG024002,Baruten,NG024,Nigeria,NG,BARUTEN,1
90,Polygon,Bassa,NG023004,Bassa,NG023,Nigeria,NG,BASSA,1
91,Polygon,Bassa,NG032002,Bassa,NG032,Nigeria,NG,BASSA,1
92,Polygon,Batagarawa,NG021002,Batagarawa,NG021,Nigeria,NG,BATAGARAWA,1
93,Polygon,Batsari,NG021003,Batsari,NG021,Nigeria,NG,BATSARI,1
94,Polygon,Bauchi,NG005002,Bauchi,NG005,Nigeria,NG,BAUCHI,1
95,Polygon,Baure,NG021004,Baure,NG021,Nigeria,NG,BAURE,1
96,Polygon,Bebeji,NG020004,Bebeji,NG020,Nigeria,NG,BEBEJI,1
97,Polygon,Bekwara,NG009006,Bekwara,NG009,Nigeria,NG,BEKWARA,1
98,Polygon,Bende,NG001004,Bende,NG001,Nigeria,NG,BENDE,1
99,Polygon,Biase,NG009007,Biase,NG009,Nigeria,NG,BIASE,1
100,Polygon,Bichi,NG020005,Bichi,NG020,Nigeria,NG,BICHI,1
101,Polygon,Bida,NG027003,Bida,NG027,Nigeria,NG,BIDA,1
102,Polygon,Billiri,NG016003,Billiri,NG016,Nigeria,NG,BILLIRI,1
103,Polygon,Bindawa,NG021005,Bindawa,NG021,Nigeria,NG,BINDAWA,1
104,Polygon,Binji,NG034001,Binji,NG034,Nigeria,NG,BINJI,1
105,Polygon,Biriniwa,NG018003,Biriniwa,NG018,Nigeria,NG,BIRINIWA,1
106,Polygon,Birni Kudu,NG018004,Birni Kudu,NG018,Nigeria,NG,BIRNI KUDU,1
107,Polygon,Birnin-Gwari,NG019001,Birnin-Gwari,NG019,Nigeria,NG,BIRNIN-GWARI,1
108,Polygon,Birnin Kebbi,NG022006,Birnin Kebbi,NG022,Nigeria,NG,BIRNIN KEBBI,1
109,Polygon,Birnin Magaji,NG037003,Birnin Magaji,NG037,Nigeria,NG,BIRNIN MAGAJI,1
110,Polygon,Bodinga,NG034002,Bodinga,NG034,Nigeria,NG,BODINGA,1
111,Polygon,Bogoro,NG005003,Bogoro,NG005,Nigeria,NG,BOGORO,1
112,Polygon,Boki,NG009008,Boki,NG009,Nigeria,NG,BOKI,1
113,Polygon,Bokkos,NG032003,Bokkos,NG032,Nigeria,NG,BOKKOS,1
114,Polygon,Boluwaduro,NG030005,Boluwaduro,NG030,Nigeria,NG,BOLUWADURO,1
115,Polygon,Bomadi,NG010003,Bomadi,NG010,Nigeria,NG,BOMADI,1
116,Polygon,Bonny,NG033007,Bonny,NG033,Nigeria,NG,BONNY,1
117,Polygon,Borgu,NG027004,Borgu,NG027,Nigeria,NG,BORGU,1
118,Polygon,Boripe,NG030006,Boripe,NG030,Nigeria,NG,BORIPE,1
119,Polygon,Bosso,NG027005,Bosso,NG027,Nigeria,NG,BOSSO,1
120,Polygon,Brass,NG006001,Brass,NG006,Nigeria,NG,BRASS,1
121,Polygon,Buji,NG018005,Buji,NG018,Nigeria,NG,BUJI,1
122,Polygon,Bukkuyum,NG037004,Bukkuyum,NG037,Nigeria,NG,BUKKUYUM,1
123,Polygon,Bungudu,NG037005,Bungudu,NG037,Nigeria,NG,BUNGUDU,1
124,Polygon,Bunkure,NG020006,Bunkure,NG020,Nigeria,NG,BUNKURE,1
125,Polygon,Bunza,NG022007,Bunza,NG022,Nigeria,NG,BUNZA,1
126,Polygon,Bursari,NG036002,Bursari,NG036,Nigeria,NG,BURSARI,1
127,Polygon,Buruku,NG007004,Buruku,NG007,Nigeria,NG,BURUKU,1
128,Polygon,Burutu,NG010004,Burutu,NG010,Nigeria,NG,BURUTU,1
129,Polygon,Bwari,NG015003,Bwari,NG015,Nigeria,NG,BWARI,1
130,Polygon,Calabar-Municipal,NG009010,Calabar-Municipal,NG009,Nigeria,NG,CALABAR-MUNICIPAL,1
131,Polygon,Calabar South,NG009009,Calabar South,NG009,Nigeria,NG,CALABAR SOUTH,1
132,Polygon,Chanchaga,NG027006,Chanchaga,NG027,Nigeria,NG,CHANCHAGA,1
133,Polygon,Charanchi,NG021006,Charanchi,NG021,Nigeria,NG,CHARANCHI,1
134,Polygon,Chikun,NG019002,Chikun,NG019,Nigeria,NG,CHIKUN,1
135,Polygon,Dala,NG020007,Dala,NG020,Nigeria,NG,DALA,1
136,Polygon,Damaturu,NG036003,Damaturu,NG036,Nigeria,NG,DAMATURU,1
137,Polygon,Damban,NG005004,Damban,NG005,Nigeria,NG,DAMBAN,1
138,Polygon,Dambatta,NG020008,Dambatta,NG020,Nigeria,NG,DAMBATTA,1
139,Polygon,Dan Musa,NG021007,Dan Musa,NG021,Nigeria,NG,DAN MUSA,1
140,Polygon,Dandi,NG022008,Dandi,NG022,Nigeria,NG,DANDI,1
141,Polygon,Dandume,NG021008,Dandume,NG021,Nigeria,NG,DANDUME,1
142,Polygon,Dange-Shuni,NG034003,Dange-Shuni,NG034,Nigeria,NG,DANGE-SHUNI,1
143,Polygon,Danja,NG021009,Danja,NG021,Nigeria,NG,DANJA,1
144,Polygon,Darazo,NG005005,Darazo,NG005,Nigeria,NG,DARAZO,1
145,Polygon,Dass,NG005006,Dass,NG005,Nigeria,NG,DASS,1
146,Polygon,Daura,NG021010,Daura,NG021,Nigeria,NG,DAURA,1
147,Polygon,Dawakin Kudu,NG020009,Dawakin Kudu,NG020,Nigeria,NG,DAWAKIN KUDU,1
148,Polygon,Dawakin Tofa,NG020010,Dawakin Tofa,NG020,Nigeria,NG,DAWAKIN TOFA,1
149,Polygon,Degema,NG033008,Degema,NG033,Nigeria,NG,DEGEMA,1
150,Polygon,Dekina,NG023005,Dekina,NG023,Nigeria,NG,DEKINA,1
151,Polygon,Demsa,NG002001,Demsa,NG002,Nigeria,NG,DEMSA,1
152,Polygon,Doguwa,NG020011,Doguwa,NG020,Nigeria,NG,DOGUWA,1
153,Polygon,Doma,NG026003,Doma,NG026,Nigeria,NG,DOMA,1
154,Polygon,Donga,NG035003,Donga,NG035,Nigeria,NG,DONGA,1
155,Polygon,Dukku,NG016004,Dukku,NG016,Nigeria,NG,DUKKU,1
156,Polygon,Njikoka,NG004013,Njikoka,NG004,Nigeria,NG,NJIKOKA,1
157,Polygon,Dutse,NG018006,Dutse,NG018,Nigeria,NG,DUTSE,1
158,Polygon,Dutsi,NG021011,Dutsi,NG021,Nigeria,NG,DUTSI,1
159,Polygon,Dutsin-Ma,NG021012,Dutsin-Ma,NG021,Nigeria,NG,DUTSIN-MA,1
160,Polygon,Eastern Obolo,NG003002,Eastern Obolo,NG003,Nigeria,NG,EASTERN OBOLO,1
161,Polygon,Ebonyi,NG011004,Ebonyi,NG011,Nigeria,NG,EBONYI,1
162,Polygon,Edati,NG027007,Edati,NG027,Nigeria,NG,EDATI,1
163,Polygon,Ede North,NG030007,Ede North,NG030,Nigeria,NG,EDE NORTH,1
164,Polygon,Ede South,NG030008,Ede South,NG030,Nigeria,NG,EDE SOUTH,1
165,Polygon,Edu,NG024003,Edu,NG024,Nigeria,NG,EDU,1
166,Polygon,Efon,NG013003,Efon,NG013,Nigeria,NG,EFON,1
167,Polygon,Egbado North,NG028004,Egbado North,NG028,Nigeria,NG,EGBADO NORTH,1
168,Polygon,Egbado South,NG028005,Egbado South,NG028,Nigeria,NG,EGBADO SOUTH,1
169,Polygon,Egbeda,NG031005,Egbeda,NG031,Nigeria,NG,EGBEDA,1
170,Polygon,Egbedore,NG030009,Egbedore,NG030,Nigeria,NG,EGBEDORE,1
171,Polygon,Egor,NG012002,Egor,NG012,Nigeria,NG,EGOR,1
172,Polygon,Ehime-Mbano,NG017003,Ehime-Mbano,NG017,Nigeria,NG,EHIME-MBANO,1
173,Polygon,Ejigbo,NG030010,Ejigbo,NG030,Nigeria,NG,EJIGBO,1
174,Polygon,Ekeremor,NG006002,Ekeremor,NG006,Nigeria,NG,EKEREMOR,1
175,Polygon,Eket,NG003003,Eket,NG003,Nigeria,NG,EKET,1
176,Polygon,Ekiti,NG024004,Ekiti,NG024,Nigeria,NG,EKITI,1
177,Polygon,Ekiti East,NG013004,Ekiti East,NG013,Nigeria,NG,EKITI EAST,1
178,Polygon,Ekiti South West,NG013005,Ekiti South West,NG013,Nigeria,NG,EKITI SOUTH WEST,1
179,Polygon,Ekiti West,NG013006,Ekiti West,NG013,Nigeria,NG,EKITI WEST,1
180,Polygon,Ekwusigo,NG004009,Ekwusigo,NG004,Nigeria,NG,EKWUSIGO,1
181,Polygon,Eleme,NG033009,Eleme,NG033,Nigeria,NG,ELEME,1
182,Polygon,Emohua,NG033010,Emohua,NG033,Nigeria,NG,EMOHUA,1
183,Polygon,Emure,NG013007,Emure,NG013,Nigeria,NG,EMURE,1
184,Polygon,Enugu East,NG014003,Enugu East,NG014,Nigeria,NG,ENUGU EAST,1
185,Polygon,Enugu North,NG014004,Enugu North,NG014,Nigeria,NG,ENUGU NORTH,1
186,Polygon,Enugu South,NG014005,Enugu South,NG014,Nigeria,NG,ENUGU SOUTH,1
187,Polygon,Epe,NG025007,Epe,NG025,Nigeria,NG,EPE,1
188,Polygon,Esan Central,NG012003,Esan Central,NG012,Nigeria,NG,ESAN CENTRAL,1
189,Polygon,Esan North East,NG012004,Esan North East,NG012,Nigeria,NG,ESAN NORTH EAST,1
190,Polygon,Esan South East,NG012005,Esan South East,NG012,Nigeria,NG,ESAN SOUTH EAST,1
191,Polygon,Esan West,NG012006,Esan West,NG012,Nigeria,NG,ESAN WEST,1
192,Polygon,Ese-Odo,NG029007,Ese-Odo,NG029,Nigeria,NG,ESE-ODO,1
193,Polygon,Esit - Eket,NG003004,Esit - Eket,NG003,Nigeria,NG,ESIT - EKET,1
194,Polygon,Essien Udim,NG003005,Essien Udim,NG003,Nigeria,NG,ESSIEN UDIM,1
195,Polygon,Etche,NG033011,Etche,NG033,Nigeria,NG,ETCHE,1
196,Polygon,Ethiope East,NG010005,Ethiope East,NG010,Nigeria,NG,ETHIOPE EAST,1
197,Polygon,Ethiope West,NG010006,Ethiope West,NG010,Nigeria,NG,ETHIOPE WEST,1
198,Polygon,Eti-Osa,NG025008,Eti-Osa,NG025,Nigeria,NG,ETI-OSA,1
199,Polygon,Etim Ekpo,NG003006,Etim Ekpo,NG003,Nigeria,NG,ETIM EKPO,1
200,Polygon,Etinan,NG003007,Etinan,NG003,Nigeria,NG,ETINAN,1
201,Polygon,Etsako Central,NG012007,Etsako Central,NG012,Nigeria,NG,ETSAKO CENTRAL,1
202,Polygon,Etsako East,NG012008,Etsako East,NG012,Nigeria,NG,ETSAKO EAST,1
203,Polygon,Etsako West,NG012009,Etsako West,NG012,Nigeria,NG,ETSAKO WEST,1
204,Polygon,Etung,NG009011,Etung,NG009,Nigeria,NG,ETUNG,1
205,Polygon,Ewekoro,NG028006,Ewekoro,NG028,Nigeria,NG,EWEKORO,1
206,Polygon,Ezeagu,NG014006,Ezeagu,NG014,Nigeria,NG,EZEAGU,1
207,Polygon,Ezinihitte,NG017004,Ezinihitte,NG017,Nigeria,NG,EZINIHITTE,1
208,Polygon,Ezza North,NG011005,Ezza North,NG011,Nigeria,NG,EZZA NORTH,1
209,Polygon,Ezza South,NG011006,Ezza South,NG011,Nigeria,NG,EZZA SOUTH,1
210,Polygon,Fagge,NG020012,Fagge,NG020,Nigeria,NG,FAGGE,1
211,Polygon,Fakai,NG022009,Fakai,NG022,Nigeria,NG,FAKAI,1
212,Polygon,Faskari,NG021013,Faskari,NG021,Nigeria,NG,FASKARI,1
213,Polygon,Fika,NG036004,Fika,NG036,Nigeria,NG,FIKA,1
214,Polygon,Fufore,NG002002,Fufore,NG002,Nigeria,NG,FUFORE,1
215,Polygon,Funakaye,NG016005,Funakaye,NG016,Nigeria,NG,FUNAKAYE,1
216,Polygon,Fune,NG036005,Fune,NG036,Nigeria,NG,FUNE,1
217,Polygon,Funtua,NG021014,Funtua,NG021,Nigeria,NG,FUNTUA,1
218,Polygon,Gabasawa,NG020013,Gabasawa,NG020,Nigeria,NG,GABASAWA,1
219,Polygon,Gada,NG034004,Gada,NG034,Nigeria,NG,GADA,1
220,Polygon,Gagarawa,NG018007,Gagarawa,NG018,Nigeria,NG,GAGARAWA,1
221,Polygon,Gamawa,NG005007,Gamawa,NG005,Nigeria,NG,GAMAWA,1
222,Polygon,Ganjuwa,NG005008,Ganjuwa,NG005,Nigeria,NG,GANJUWA,1
223,Polygon,Ganye,NG002003,Ganye,NG002,Nigeria,NG,GANYE,1
224,Polygon,Garki,NG018008,Garki,NG018,Nigeria,NG,GARKI,1
225,Polygon,Garko,NG020014,Garko,NG020,Nigeria,NG,GARKO,1
226,Polygon,Garum Mallam,NG020015,Garum Mallam,NG020,Nigeria,NG,GARUM MALLAM,1
227,Polygon,Gashaka,NG035004,Gashaka,NG035,Nigeria,NG,GASHAKA,1
228,Polygon,Gassol,NG035005,Gassol,NG035,Nigeria,NG,GASSOL,1
229,Polygon,Gaya,NG020016,Gaya,NG020,Nigeria,NG,GAYA,1
230,Polygon,Gbako,NG027008,Gbako,NG027,Nigeria,NG,GBAKO,1
231,Polygon,Gboko,NG007005,Gboko,NG007,Nigeria,NG,GBOKO,1
232,Polygon,Geidam,NG036006,Geidam,NG036,Nigeria,NG,GEIDAM,1
233,Polygon,Gezawa,NG020017,Gezawa,NG020,Nigeria,NG,GEZAWA,1
234,Polygon,Giade,NG005009,Giade,NG005,Nigeria,NG,GIADE,1
235,Polygon,Gombi,NG002004,Gombi,NG002,Nigeria,NG,GOMBI,1
236,Polygon,Giwa,NG019003,Giwa,NG019,Nigeria,NG,GIWA,1
237,Polygon,Gokana,NG033012,Gokana,NG033,Nigeria,NG,GOKANA,1
238,Polygon,Gombe,NG016006,Gombe,NG016,Nigeria,NG,GOMBE,1
239,Polygon,Girei,NG002005,Girei,NG002,Nigeria,NG,GIREI,1
240,Polygon,Goronyo,NG034006,Goronyo,NG034,Nigeria,NG,GORONYO,1
241,Polygon,Gudu,NG034007,Gudu,NG034,Nigeria,NG,GUDU,1
242,Polygon,Gujba,NG036007,Gujba,NG036,Nigeria,NG,GUJBA,1
243,Polygon,Gulani,NG036008,Gulani,NG036,Nigeria,NG,GULANI,1
244,Polygon,Guma,NG007006,Guma,NG007,Nigeria,NG,GUMA,1
245,Polygon,Gumel,NG018009,Gumel,NG018,Nigeria,NG,GUMEL,1
246,Polygon,Gummi,NG037006,Gummi,NG037,Nigeria,NG,GUMMI,1
247,Polygon,Gurara,NG027009,Gurara,NG027,Nigeria,NG,GURARA,1
248,Polygon,Guri,NG018010,Guri,NG018,Nigeria,NG,GURI,1
249,Polygon,Gusau,NG037007,Gusau,NG037,Nigeria,NG,GUSAU,1
250,Polygon,Guyuk,NG002006,Guyuk,NG002,Nigeria,NG,GUYUK,1
251,Polygon,Gwadabawa,NG034005,Gwadabawa,NG034,Nigeria,NG,GWADABAWA,1
252,Polygon,Gwagwalada,NG015004,Gwagwalada,NG015,Nigeria,NG,GWAGWALADA,1
253,Polygon,Gwale,NG020018,Gwale,NG020,Nigeria,NG,GWALE,1
254,Polygon,Gwandu,NG022010,Gwandu,NG022,Nigeria,NG,GWANDU,1
255,Polygon,Gwaram,NG018011,Gwaram,NG018,Nigeria,NG,GWARAM,1
256,Polygon,Gwarzo,NG020019,Gwarzo,NG020,Nigeria,NG,GWARZO,1
257,Polygon,Gwer East,NG007007,Gwer East,NG007,Nigeria,NG,GWER EAST,1
258,Polygon,Gwer West,NG007008,Gwer West,NG007,Nigeria,NG,GWER WEST,1
259,Polygon,Gwiwa,NG018012,Gwiwa,NG018,Nigeria,NG,GWIWA,1
260,Polygon,Hadejia,NG018013,Hadejia,NG018,Nigeria,NG,HADEJIA,1
261,Polygon,Hong,NG002007,Hong,NG002,Nigeria,NG,HONG,1
262,Polygon,Ibadan North,NG031006,Ibadan North,NG031,Nigeria,NG,IBADAN NORTH,1
263,Polygon,Ibadan North East,NG031007,Ibadan North East,NG031,Nigeria,NG,IBADAN NORTH EAST,1
264,Polygon,Ibadan North West,NG031008,Ibadan North West,NG031,Nigeria,NG,IBADAN NORTH WEST,1
265,Polygon,Ibadan South East,NG031009,Ibadan South East,NG031,Nigeria,NG,IBADAN SOUTH EAST,1
266,Polygon,Ibadan South West,NG031010,Ibadan South West,NG031,Nigeria,NG,IBADAN SOUTH WEST,1
267,Polygon,Ibaji,NG023006,Ibaji,NG023,Nigeria,NG,IBAJI,1
268,Polygon,Ibarapa Central,NG031011,Ibarapa Central,NG031,Nigeria,NG,IBARAPA CENTRAL,1
269,Polygon,Ibarapa East,NG031012,Ibarapa East,NG031,Nigeria,NG,IBARAPA EAST,1
270,Polygon,Ibarapa North,NG031013,Ibarapa North,NG031,Nigeria,NG,IBARAPA NORTH,1
271,Polygon,Ibeju/Lekki,NG025009,Ibeju/Lekki,NG025,Nigeria,NG,IBEJU/LEKKI,1
272,Polygon,Ibeno,NG003008,Ibeno,NG003,Nigeria,NG,IBENO,1
273,Polygon,Ibesikpo Asutan,NG003009,Ibesikpo Asutan,NG003,Nigeria,NG,IBESIKPO ASUTAN,1
274,Polygon,Ibi,NG035006,Ibi,NG035,Nigeria,NG,IBI,1
275,Polygon,Ibiono Ibom,NG003010,Ibiono Ibom,NG003,Nigeria,NG,IBIONO IBOM,1
276,Polygon,Idah,NG023007,Idah,NG023,Nigeria,NG,IDAH,1
277,Polygon,Idanre,NG029008,Idanre,NG029,Nigeria,NG,IDANRE,1
278,Polygon,Ideato North,NG017005,Ideato North,NG017,Nigeria,NG,IDEATO NORTH,1
279,Polygon,Ideato South,NG017006,Ideato South,NG017,Nigeria,NG,IDEATO SOUTH,1
280,Polygon,Idemili North,NG004010,Idemili North,NG004,Nigeria,NG,IDEMILI NORTH,1
281,Polygon,Idemili South,NG004011,Idemili South,NG004,Nigeria,NG,IDEMILI SOUTH,1
282,Polygon,Ido,NG031014,Ido,NG031,Nigeria,NG,IDO,1
283,Polygon,Ido-Osi,NG013008,Ido-Osi,NG013,Nigeria,NG,IDO-OSI,1
284,Polygon,Ifako-Ijaye,NG025010,Ifako-Ijaye,NG025,Nigeria,NG,IFAKO-IJAYE,1
285,Polygon,Ife Central,NG030011,Ife Central,NG030,Nigeria,NG,IFE CENTRAL,1
286,Polygon,Ife East,NG030012,Ife East,NG030,Nigeria,NG,IFE EAST,1
287,Polygon,Ife North,NG030013,Ife North,NG030,Nigeria,NG,IFE NORTH,1
288,Polygon,Ife South,NG030014,Ife South,NG030,Nigeria,NG,IFE SOUTH,1
289,Polygon,Ifedayo,NG030015,Ifedayo,NG030,Nigeria,NG,IFEDAYO,1
290,Polygon,Ifedore,NG029009,Ifedore,NG029,Nigeria,NG,IFEDORE,1
291,Polygon,Ifelodun,NG030016,Ifelodun,NG030,Nigeria,NG,IFELODUN,1
292,Polygon,Ifelodun,NG024005,Ifelodun,NG024,Nigeria,NG,IFELODUN,1
293,Polygon,Ifo,NG028007,Ifo,NG028,Nigeria,NG,IFO,1
294,Polygon,Igabi,NG019004,Igabi,NG019,Nigeria,NG,IGABI,1
