"","V1"
"142","access.latrine.other"
"143","type.latrine"
"144","type.latrine.other"
"145","latrine.use.asn"
"146","who.latrine.use"
"147","who.latrine.use.other"
"148","latrine.nouse.reason"
"149","latrine.nouse.reason.other"
"150","gender.latrine"
"151","trash.disposal"
"152","trash.disposal.other"
"153","trash.freq"
"154","trash.freq.other"
"155","cash.wash"
"156","cash.wash.other"
"157","wash"
"158","health"
"159","notehealth"
"160","sick.2weeks"
"161","sick.illness"
"162","sick.illness.other"
"163","wouldseek.treatment"
"164","wouldseek.treatment.other"
"165","cost.treatment"
"166","cost.treat.travel"
"167","distance.hf"
"168","type.hf"
"169","type.hf.other"
"170","main.barrier.health"
"171","main.barrier.health.other"
"172","birth.lastyear"
"173","birth.where"
"174","birth.where.other"
"175","birth.who"
"176","birth.with.whom"
"177","cash.health"
"178","cash.health.other"
"179","health"
"180","foodsec"
"181","notefoodsec"
"182","food.source.main"
"183","food.source.main.other"
"184","fcs"
"185","fcs.cereals"
"186","fcs.pulses"
"187","fcs.veg"
"188","fcs.fruit"
"189","fcs.meat"
"190","fcs.dairy"
"191","fcs.oils"
"192","fcs.sweets"
"193","fcs.spics"
"194","fcs"
"195","rcsi"
"196","rcsi.lesspref"
"197","rcsi.borrow"
"198","rcsi.limit"
"199","rcsi.children"
"200","rcsi.meals"
"201","rcsi"
"202","food.cope"
"203","food.cope.other"
"204","market.access"
"205","food.barrier.main"
"206","food.barrier.main.other"
"207","food.preference"
"208","food.preference.other"
"209","foodsec"
"210","safe.wg"
"211","notefuel"
"212","safe.fuel.cook"
"213","safe.fuel.cook.other"
"214","safe.fuel.light"
"215","safe.fuel.light.other"
"216","safe.get.fuel"
"217","safe.get.fuel.other"
"218","safe.fuel.woodtrips"
"219","safe.get.fuel.who"
"220","safe.get.fuel.who.other"
"221","safe.wood.trips.rainy"
"222","safe.wood.time.rainy"
"223","safe.cook.main"
"224","safe.cook.main.other"
"225","safe.enough"
"226","safe.coping.main"
"227","safe.coping.main.other"
"228","cash.fuel"
"229","cash.fuel.other"
"230","safe.wg"
"231","livelihoods"
"232","notelivelihood"
"233","expenses.yn"
"234","expenses"
"235","expense.housing"
"236","expense.food"
"237","expense.energy"
"238","expense.health"
"239","expense.nfi"
"240","expense.water"
"241","expense.education"
"242","expense.debt"
"243","expense.transport"
"244","expense.other"
"245","expenses"
"246","expense.other.other"
"247","total.expenses"
"248","livelihood.coping.main"
"249","livelihood.coping.main.other"
"250","livelihood.coping.exh"
"251","main.income"
"252","main.income.other"
"253","income.change"
"254","hh.debt.yn"
"255","cash.access"
"256","cash.access.other"
"257","is.farmer"
"258","crops.dry"
"259","crops.mainrainy"
"260","crops.mainrainy.other"
"261","land.access.need"
"262","land.access.need.other"
"263","land.access"
"264","water.access.need"
"265","water.access.need.other"
"266","water.access"
"267","land.barrier.main"
"268","land.barrier.main.other"
"269","cash.livelihoods"
"270","cash.livelihoods.other"
"271","livelihoods"
"272","shelter"
"273","noteshelter"
"274","type.shelter"
"275","type.shelter.other"
"276","occup.status"
"277","occup.status.other"
"278","permission.squat"
"279","permission.squat.other"
"280","rent"
"281","rent.contract.yn"
"282","contract.months"
"283","rent.cost"
"284","eviction.threat"
"285","num.families.share"
"286","dmg.status"
"287","dmg.type"
"288","dmg.type.other"
"289","dmg.cause"
"290","dmg.cause.other"
"291","dmg.severity"
"292","dmg.severity.other"
"293","items.own"
"294","cash.shelter"
"295","cash.shelter.other"
"296","shelter"
"297","education"
"298","noteeducation"
"299","cfs"
"300","cfs.other"
"301","cfs.access"
"302","ffs"
"303","ffs.other"
"304","ffs.access"
"305","education.barrier.main"
"306","education.barrier.other"
"307","cash.education"
"308","cash.education.other"
"309","education"
"310","protection"
"311","noteprot"
"312","security.yn"
"313","security.where"
"314","security.where.other"
"315","security.type"
"316","security.type.other"
"317","num.havedocs"
"318","doc.type"
"319","doc.type.other"
"320","birth.cert"
"321","doc.challenge"
"322","doc.challenge.other"
"323","move.restriction.yn"
"324","move.restriction.other"
"325","reason.restriction"
"326","reason.restriction.other"
"327","missing.detained"
"328","missing.detained.happen"
"329","missing.detain.other"
"330","cash.safety"
"331","cash.safety.other"
"332","protection"
"333","assistance"
"334","noteassistance"
"335","aid.receive"
"336","aid.sources"
"337","aid.sources.other"
"338","aid.types"
"339","aid.types.other"
"340","aid.satis.yndk"
"341","aid.satis.not"
"342","aid.satis.not.other"
"343","aid.satis.workers"
"344","aid.satis.workers.not"
"345","aid.satis.workers.not.other"
"346","aid.safe"
"347","aid.safe.other"
"348","aid.safe.reason"
"349","aid.safe.reason.other"
"350","aid.excluded"
"351","aid.excluded.who"
"352","aid.excluded.who.other"
"353","access.comms"
"354","aid.info.receive"
"355","aid.info.receive.other"
"356","aid.info.receiving"
"357","aid.info.receiving.other"
"358","aid.info.types"
"359","aid.info.types.other"
"360","aid.prefwho"
"361","aid.prefwho.other"
"362","aid.prefmode"
"363","aid.prefmode.other"
"364","aid.info.barrier"
"365","aid.info.barrier.other"
"366","aid.concern"
"367","aid.concern.raise"
"368","aid.concern.raise.other"
"369","aid.concern.response"
"370","aid.feedbacks"
"371","aid.feedbacks.other"
"372","aid.asked"
"373","assistance"
"374","needs"
"375","noteneeds"
"376","need1"
"377","needs1.other"
"378","need2"
"379","needs2.other"
"380","need3"
"381","needs3.other"
"382","needs"
"383","interview.enter3"
"384","interview.enter2"
"385","note3"
"386","endnot"
"387",""
"388",""
"389",""
"390",""
"391",""
"392",""
"393",""
"394",""
"395",""
"396",""
"397",""
"398",""
"399",""
"400",""
"401",""
"402",""
"403",""
"404",""
"405",""
"406",""
"407",""
"408",""
"409",""
"410",""
"411",""
"412",""
"413",""
"414",""
"415",""
"416",""
"417",""
"418",""
"419",""
"420",""
"421",""
"422",""
