variable.name,list_name,name,label..english,label..somali,country,area,district,region,choice
district,district,gebiley,Gebiley,Gebiley,,,,woqooyi_galbeed,
district,district,hargeysa,Hargeysa,Hargeysa,,,,woqooyi_galbeed,
idp_settlement,yes_no,yes,Yes,Haa,,,,,
idp_settlement,yes_no,no,No,Maya,,,,,
resp_gender,male_female,male,Male,Rag,,,,,
resp_gender,male_female,female,Female,Dumar,,,,,
resp_age,age,age12_17,Age 12-17,Da'da qofka u dhaxeysa 12 ilaa 17,,,,,
resp_age,age,age18_25,Age 18-25,Da'da qofka u dhaxeysa 18 ilaa 25,,,,,
resp_age,age,age26_30,Age 26-30,Da'da qofka u dhaxeysa 26 ilaa 30,,,,,
resp_age,age,age31_35,Age 31-35,Da'da qofka u dhaxeysa 31 ilaa 35,,,,,
resp_age,age,age36_40,Age 36-40,Da'da qofka u dhaxeysa 36 ilaa 40,,,,,
resp_age,age,age41_45,Age 41-45,Da'da qofka u dhaxeysa 41 ilaa 45,,,,,
resp_age,age,age46_50,Age 46-50,Da'da qofka u dhaxeysa 46 ilaa 50,,,,,
resp_age,age,age51_55,Age 51-55,Da'da qofka u dhaxeysa 51 ilaa 55,,,,,
resp_age,age,age56_59,Age 56-59,Da'da qofka u dhaxeysa 56 ilaa 59,,,,,
resp_age,age,age60_65,Age 60-65,Da'da qofka u dhaxeysa 60 ilaa 65,,,,,
resp_age,age,age66_70,Age 66-70,Da'da qofka u dhaxeysa 66 ilaa 70,,,,,
resp_age,age,age71_75,Age 71-75,Da'da qofka u dhaxeysa 71 ilaa 75,,,,,
resp_age,age,age76_80,Age 76-80,Da'da qofka u dhaxeysa 76 ilaa 80,,,,,
resp_age,age,age81_85,Age 81-85,Da'da qofka u dhaxeysa 81 ilaa 85,,,,,
resp_age,age,age86_90,Age 86-90,Da'da qofka u dhaxeysa 86 ilaa 90,,,,,
resp_age,age,age91_95,Age 91-95,Da'da qofka u dhaxeysa 91 ilaa 95,,,,,
resp_age,age,age96_100,Age 96-100,Da'da qofka u dhaxeysa 96 ilaa 100,,,,,
resp_age,age,age100+,Age 100+,Da'da qofka 100 ka wayn,,,,,
breadwinner,breadwinner ,father,Father of household,Aabaha qoyska,,,,,
breadwinner,breadwinner ,mother,Mother of household ,Hooyada qosyka,,,,,
breadwinner,breadwinner ,adult_male,Adult male (aged 18+) other than father of the household,Qof rag ah (18 sano ama ka weyn) oo aan ahayn aabaha qoyska,,,,,
breadwinner,breadwinner ,adult_female,Adult female (aged 18+) other than mother of the household,Qof dumar ah (18 sano ama ka weyn) oo aan ahayn hooyada qoyska,,,,,
breadwinner,breadwinner ,male_14_17,Male child (aged 14-17),Qof rag ah (14 ilaa 17 sano jir ah),,,,,
breadwinner,breadwinner ,female_14_17,Female child (aged 14-17),Qof dumar ah (14 ilaa 17 sano jir ah),,,,,
breadwinner,breadwinner ,male_13,Male child (aged 13 or below),Qof rag ah (13 sano ama ka yar),,,,,
breadwinner,breadwinner ,female_13,Female child (aged 13 or below),Qof dumar ah (13 sano ama ka yar),,,,,
household_expenditure,breadwinner ,father,Father of household,Aabaha qoyska,,,,,
household_expenditure,breadwinner ,mother,Mother of household ,Hooyada qosyka,,,,,
household_expenditure,breadwinner ,adult_male,Adult male (aged 18+) other than father of the household,Qof rag ah (18 sano ama ka weyn) oo aan ahayn aabaha qoyska,,,,,
household_expenditure,breadwinner ,adult_female,Adult female (aged 18+) other than mother of the household,Qof dumar ah (18 sano ama ka weyn) oo aan ahayn hooyada qoyska,,,,,
household_expenditure,breadwinner ,male_14_17,Male child (aged 14-17),Qof rag ah (14 ilaa 17 sano jir ah),,,,,
household_expenditure,breadwinner ,female_14_17,Female child (aged 14-17),Qof dumar ah (14 ilaa 17 sano jir ah),,,,,
household_expenditure,breadwinner ,male_13,Male child (aged 13 or below),Qof rag ah (13 sano ama ka yar),,,,,
household_expenditure,breadwinner ,female_13,Female child (aged 13 or below),Qof dumar ah (13 sano ama ka yar),,,,,
hh_ids,yes_no,yes,Yes,Haa,,,,,
hh_ids,yes_no,no,No,Maya,,,,,
hh_children,yes_no,yes,Yes,Haa,,,,,
hh_children,yes_no,no,No,Maya,,,,,
total_hh_confirm,yes_no,yes,Yes,Haa,,,,,
total_hh_confirm,yes_no,no,No,Maya,,,,,
yes_no_host,yes_no,yes,Yes,Haa,,,,,
yes_no_host,yes_no,no,No,Maya,,,,,
hosting_idp,yes_no,yes,Yes,Haa,,,,,
hosting_idp,yes_no,no,No,Maya,,,,,
yes_no_idp,yes_no,yes,Yes,Haa,,,,,
yes_no_idp,yes_no,no,No,Maya,,,,,
yes_no_returnee,yes_no,yes,Yes,Haa,,,,,
yes_no_returnee,yes_no,no,No,Maya,,,,,
region_idp,region,lower_juba,Lower Juba,Jubadda Hoose,,,,,
region_idp,region,awdal,Awdal,Awdal,,,,,
region_idp,region,bakool,Bakool,Bakool,,,,,
region_idp,region,banadir,Banadir,Banadir,,,,,
region_idp,region,bari,Bari,Bari,,,,,
region_idp,region,bay,Bay,Bay,,,,,
region_idp,region,galgaduud,Galgaduud,Galgaduud,,,,,
region_idp,region,gedo,Gedo,Gedo,,,,,
region_idp,region,hiraan,Hiraan,Hiraan,,,,,
region_idp,region,lower_shabelle,Lower Shabelle,Shabellada Hoose,,,,,
region_idp,region,middle_juba,Middle Juba,Jubadda Dhexe,,,,,
region_idp,region,middle_shabelle,Middle Shabelle,Shabellada Dhexe,,,,,
region_idp,region,mudug,Mudug,Mudug,,,,,
region_idp,region,nugaal,Nugaal,Nugaal,,,,,
region_idp,region,sanaag,Sanaag,Sanaag,,,,,
region_idp,region,sool,Sool,Sool,,,,,
region_idp,region,togdheer,Togdheer,Togdheer,,,,,
region_idp,region,woqooyi_galbeed,Woqooyi Galbeed,Woqooyi Galbeed,,,,,
district_idp,district,kismayo,Kismayo,Kismayo,,,,lower_juba,
district_idp,district,baki,Baki,Baki,,,,awdal,
district_idp,district,borama,Borama,Borama,,,,awdal,
district_idp,district,lughaye,Lughaye,Lughaye,,,,awdal,
district_idp,district,zeylac,Zeylac,Zeylac,,,,awdal,
district_idp,district,ceel_barde,Ceel Barde,Ceel Barde,,,,bakool,
district_idp,district,rab_dhuure,Rab Dhuure,Rab Dhuure,,,,bakool,
district_idp,district,tayeeglow,Tayeeglow,Tayeeglow,,,,bakool,
district_idp,district,waajid,Waajid,Waajid,,,,bakool,
district_idp,district,xudur,Xudur,Xudur,,,,bakool,
district_idp,district,mogadishu,Mogadishu,Mogadishu,,,,banadir,
district_idp,district,mogadishu_boondheere,Mogadishu-Boondheere,Mogadishu-Boondheere,,,,banadir,
district_idp,district,mogadishu_cabdulcasiis,Mogadishu-Cabdulcasiis,Mogadishu-Cabdulcasiis,,,,banadir,
district_idp,district,mogadishu_daynile,Mogadishu-Daynile,Mogadishu-Daynile,,,,banadir,
district_idp,district,mogadishu_dharkenley,Mogadishu-Dharkenley,Mogadishu-Dharkenley,,,,banadir,
district_idp,district,mogadishu_hawl_wadaag,Mogadishu-Hawl Wadaag,Mogadishu-Hawl Wadaag,,,,banadir,
district_idp,district,mogadishu_heliwa,Mogadishu-Heliwa,Mogadishu-Heliwa,,,,banadir,
district_idp,district,mogadishu_hodan,Mogadishu-Hodan,Mogadishu-Hodan,,,,banadir,
district_idp,district,mogadishu_karaan,Mogadishu-Karaan,Mogadishu-Karaan,,,,banadir,
district_idp,district,mogadishu_shangaani,Mogadishu-Shangaani,Mogadishu-Shangaani,,,,banadir,
district_idp,district,mogadishu_shibis,Mogadishu-Shibis,Mogadishu-Shibis,,,,banadir,
district_idp,district,mogadishu_waaberi,Mogadishu-Waaberi,Mogadishu-Waaberi,,,,banadir,
district_idp,district,mogadishu_wadajir,Mogadishu-Wadajir,Mogadishu-Wadajir,,,,banadir,
district_idp,district,mogadishu_wardhiigleey,Mogadishu-Wardhiigleey,Mogadishu-Wardhiigleey,,,,banadir,
district_idp,district,mogadishu_xamar_jabjab,Mogadishu-Xamar Jabjab,Mogadishu-Xamar Jabjab,,,,banadir,
district_idp,district,mogadishu_xamar_weyne,Mogadishu-Xamar Weyne,Mogadishu-Xamar Weyne,,,,banadir,
district_idp,district,mogadishu_yaaqshiid,Mogadishu-Yaaqshiid,Mogadishu-Yaaqshiid,,,,banadir,
district_idp,district,bandarbayla,Bandarbayla,Bandarbayla,,,,bari,
district_idp,district,bossaso,Bossaso,Bossaso,,,,bari,
district_idp,district,caluula,Caluula,Caluula,,,,bari,
district_idp,district,iskushuban,Iskushuban,Iskushuban,,,,bari,
district_idp,district,qandala,Qandala,Qandala,,,,bari,
district_idp,district,qardho,Qardho,Qardho,,,,bari,
district_idp,district,baidoa,Baidoa,Baidoa,,,,bay,
district_idp,district,buur_hakaba,Buur Hakaba,Buur Hakaba,,,,bay,
district_idp,district,diinsoor,Diinsoor,Diinsoor,,,,bay,
district_idp,district,qansax_dheere,Qansax Dheere,Qansax Dheere,,,,bay,
district_idp,district,cabudwaaq,Cabudwaaq,Cabudwaaq,,,,galgaduud,
district_idp,district,cadaado,Cadaado,Cadaado,,,,galgaduud,
district_idp,district,ceel_buur,Ceel Buur,Ceel Buur,,,,galgaduud,
district_idp,district,ceel_dheer,Ceel Dheer,Ceel Dheer,,,,galgaduud,
district_idp,district,dhuusamarreeb,Dhuusamarreeb,Dhuusamarreeb,,,,galgaduud,
district_idp,district,baardheere,Baardheere,Baardheere,,,,gedo,
district_idp,district,belet_xaawo,Belet Xaawo,Belet Xaawo,,,,gedo,
district_idp,district,ceel_waaq,Ceel Waaq,Ceel Waaq,,,,gedo,
district_idp,district,doolow,Doolow,Doolow,,,,gedo,
district_idp,district,garbahaarey,Garbahaarey,Garbahaarey,,,,gedo,
district_idp,district,luuq,Luuq,Luuq,,,,gedo,
district_idp,district,belet_weyne,Belet Weyne,Belet Weyne,,,,hiraan,
district_idp,district,bulo_burto,Bulo Burto,Bulo Burto,,,,hiraan,
district_idp,district,jalalaqsi,Jalalaqsi,Jalalaqsi,,,,hiraan,
district_idp,district,afmadow,Afmadow,Afmadow,,,,lower_juba,
district_idp,district,badhaadhe,Badhaadhe,Badhaadhe,,,,lower_juba,
district_idp,district,jamaame,Jamaame,Jamaame,,,,lower_juba,
district_idp,district,afgooye,Afgooye,Afgooye,,,,lower_shabelle,
district_idp,district,baraawe,Baraawe,Baraawe,,,,lower_shabelle,
district_idp,district,kurtunwaarey,Kurtunwaarey,Kurtunwaarey,,,,lower_shabelle,
district_idp,district,marka,Marka,Marka,,,,lower_shabelle,
district_idp,district,qoryooley,Qoryooley,Qoryooley,,,,lower_shabelle,
district_idp,district,sablaale,Sablaale,Sablaale,,,,lower_shabelle,
district_idp,district,wanla_weyn,Wanla Weyn,Wanla Weyn,,,,lower_shabelle,
district_idp,district,buaale,Buaale,Buaale,,,,middle_juba,
district_idp,district,jilib,Jilib,Jilib,,,,middle_juba,
district_idp,district,sakow,Sakow,Sakow,,,,middle_juba,
district_idp,district,aden_yabaal,Aden Yabaal,Aden Yabaal,,,,middle_shabelle,
district_idp,district,balcad,Balcad,Balcad,,,,middle_shabelle,
district_idp,district,cadale,Cadale,Cadale,,,,middle_shabelle,
district_idp,district,jowhar,Jowhar,Jowhar,,,,middle_shabelle,
district_idp,district,gaalkacyo,Gaalkacyo,Gaalkacyo,,,,mudug,
district_idp,district,galdogob,Galdogob,Galdogob,,,,mudug,
district_idp,district,hobyo,Hobyo,Hobyo,,,,mudug,
district_idp,district,jariiban,Jariiban,Jariiban,,,,mudug,
district_idp,district,xarardheere,Xarardheere,Xarardheere,,,,mudug,
district_idp,district,burtinle,Burtinle,Burtinle,,,,nugaal,
district_idp,district,eyl,Eyl,Eyl,,,,nugaal,
district_idp,district,garowe,Garowe,Garowe,,,,nugaal,
district_idp,district,ceel_afweyn,Ceel Afweyn,Ceel Afweyn,,,,sanaag,
district_idp,district,ceerigaabo,Ceerigaabo,Ceerigaabo,,,,sanaag,
district_idp,district,laasqoray,Laasqoray,Laasqoray,,,,sanaag,
district_idp,district,caynabo,Caynabo,Caynabo,,,,sool,
district_idp,district,laas_caanood,Laas Caanood,Laas Caanood,,,,sool,
district_idp,district,taleex,Taleex,Taleex,,,,sool,
district_idp,district,xudun,Xudun,Xudun,,,,sool,
district_idp,district,burco,Burco,Burco,,,,togdheer,
district_idp,district,buuhoodle,Buuhoodle,Buuhoodle,,,,togdheer,
district_idp,district,owdweyne,Owdweyne,Owdweyne,,,,togdheer,
district_idp,district,sheikh,Sheikh,Sheikh,,,,togdheer,
district_idp,district,berbera,Berbera,Berbera,,,,woqooyi_galbeed,
district_idp,district,gebiley,Gebiley,Gebiley,,,,woqooyi_galbeed,
district_idp,district,hargeysa,Hargeysa,Hargeysa,,,,woqooyi_galbeed,
returnee_country,return_country,kenya,Kenya,Kenya,,,,,
returnee_country,return_country,ethiopia,Ethiopia,Ethiopia,,,,,
returnee_country,return_country,yemen,Yemen,Yemen,,,,,
returnee_country,return_country,uganda,Uganda,Uganda,,,,,
returnee_country,return_country,djibouti,Djibouti,Djibouti,,,,,
returnee_country,return_country,egypt,Egypt,Egypt,,,,,
returnee_country,return_country,eritrea,Eritrea,Eritrea,,,,,
returnee_country,return_country,tanzania,Tanzania,Tanzania,,,,,
returnee_country,return_country,other,Other,Wax kale,,,,,
returnee_area,return_area,dollo_ado,Dollo Ado,Dollo Ado,ethiopia,,,,
returnee_area,return_area,jijiga,Jijiga,Jijiga,ethiopia,,,,
returnee_area,return_area,addis_ababa,Addis Ababa,Addis Ababa,ethiopia,,,,
returnee_area,return_area,other,Other,Wax kale,ethiopia,,,,
returnee_area,return_area,dadaab,Dadaab,Dadaab,kenya,,,,
returnee_area,return_area,kakuma,Kakuma,Kakuma,kenya,,,,
returnee_area,return_area,nairobi,Nairobi,Nairobi,kenya,,,,
returnee_area,return_area,other,Other,Wax kale,kenya,,,,
returnee_settlement,return_settlement,melkadida,Melkadida,Melkadida,,dollo_ado,,,
returnee_settlement,return_settlement,kobe,Kobe,Kobe,,dollo_ado,,,
returnee_settlement,return_settlement,hilaweyn,Hilaweyn,Hilaweyn,,dollo_ado,,,
returnee_settlement,return_settlement,bokolmanyo,Bokolmanyo,Bokolmanyo,,dollo_ado,,,
returnee_settlement,return_settlement,buramino,Buramino,Buramino,,dollo_ado,,,
returnee_settlement,return_settlement,other,Other,Wax kale,,dollo_ado,,,
returnee_settlement,return_settlement,kebribeyah,Kebribeyah,Kebribeyah,,jijiga,,,
returnee_settlement,return_settlement,aw_barre,Aw-Barre,Aw-Barre,,jijiga,,,
returnee_settlement,return_settlement,sheder,Sheder,Sheder,,jijiga,,,
returnee_settlement,return_settlement,other,Other,Wax kale,,jijiga,,,
returnee_settlement,return_settlement,hagadera,Hagadera,Hagadera,,dadaab,,,
returnee_settlement,return_settlement,dagahaley,Dagahaley,Dagahaley,,dadaab,,,
returnee_settlement,return_settlement,ifo,Ifo,Ifo,,dadaab,,,
returnee_settlement,return_settlement,ifo_2,Ifo 2,Ifo 2,,dadaab,,,
returnee_settlement,return_settlement,kambioos,Kambioos,Kambioos,,dadaab,,,
returnee_settlement,return_settlement,other,Other,Wax kale,,dadaab,,,
registered_return,yes_no,yes,Yes,Haa,,,,,
registered_return,yes_no,no,No,Maya,,,,,
refugee,yes_no,yes,Yes,Haa,,,,,
refugee,yes_no,no,No,Maya,,,,,
disp_why1,reason1,conflict_community,Actual conflict in community,Dagaalo ka jira deegaanka magangalyada,,,,,
disp_why1,reason1,conflict_surrounding,"Conflict in surrounding area, but not in my community","Dagaalo ka jira daafaha deegaanka, laakiin aan gudaha ahayn ",,,,,
disp_why1,reason1,conflict_fear,Fear of conflict in community,Cabsi laga qabo dagaalo inay dhacaan,,,,,
disp_why1,reason1,arrival_ags,Arrival of armed groups,Imaanshaha kooxo hubeysan,,,,,
disp_why1,reason1,withdrawal_ags,Withdrawal of armed groups/ security forces,Ka baxida ciidamada hubeysan/xoogaga amniga,,,,,
disp_why1,reason1,threats,Personal threats,Handadaad shakhsiyeed ,,,,,
disp_why1,reason1,flooding,Flooding,Daad/Fatahaad,,,,,
disp_why1,reason1,lack_job,Lack of livelihood opportunities/job,Fursado nolol-maalmeed oo aan jirin,,,,,
disp_why1,reason1,lack_health,Lack of health services,Adeeg caafimaad la'aan,,,,,
disp_why1,reason1,lack_edu,Lack of education services,Waxbarasho la'aan,,,,,
disp_why1,reason1,drought,Drought,Abaar,,,,,
disp_why1,reason1,lack_water,Lack of water (not drought related),Biyo la'aan (aan quseyn abaarta),,,,,
disp_why1,reason1,lack_food,Lack of food (not drought related),Cunto la'aan (aan quseyn abaarta),,,,,
disp_why1,reason1,livestock_disease,Livestock disease outbreak/livestock death,Xoolaha oo oo cudur ku dhacay,,,,,
disp_why1,reason1,pressure_authorities,Pressure from authorities,Cadaadis maamulka ah,,,,,
disp_why1,reason1,pressure_hc,Pressure from host communities,Cadaadis dadka deegaanka ah ,,,,,
disp_why1,reason1,eviction,Eviction,Dhul/Guri ka saarid,,,,,
disp_why1,reason1,none,None,Midnaba,,,,,
disp_why1,reason1,dontknow,I don't know or don’t want to answer,Ma garanayo ama ma doonayo inaan ka jawaabo,,,,,
disp_why2,reason1,conflict_community,Actual conflict in community,Dagaalo ka jira deegaanka magangalyada,,,,,
disp_why2,reason1,conflict_surrounding,"Conflict in surrounding area, but not in my community","Dagaalo ka jira daafaha deegaanka, laakiin aan gudaha ahayn ",,,,,
disp_why2,reason1,conflict_fear,Fear of conflict in community,Cabsi laga qabo dagaalo inay dhacaan,,,,,
disp_why2,reason1,arrival_ags,Arrival of armed groups,Imaanshaha kooxo hubeysan,,,,,
disp_why2,reason1,withdrawal_ags,Withdrawal of armed groups/ security forces,Ka baxida ciidamada hubeysan/xoogaga amniga,,,,,
disp_why2,reason1,threats,Personal threats,Handadaad shakhsiyeed ,,,,,
disp_why2,reason1,flooding,Flooding,Daad/Fatahaad,,,,,
disp_why2,reason1,lack_job,Lack of livelihood opportunities/job,Fursado nolol-maalmeed oo aan jirin,,,,,
disp_why2,reason1,lack_health,Lack of health services,Adeeg caafimaad la'aan,,,,,
disp_why2,reason1,lack_edu,Lack of education services,Waxbarasho la'aan,,,,,
disp_why2,reason1,drought,Drought,Abaar,,,,,
disp_why2,reason1,lack_water,Lack of water (not drought related),Biyo la'aan (aan quseyn abaarta),,,,,
disp_why2,reason1,lack_food,Lack of food (not drought related),Cunto la'aan (aan quseyn abaarta),,,,,
disp_why2,reason1,livestock_disease,Livestock disease outbreak/livestock death,Xoolaha oo oo cudur ku dhacay,,,,,
disp_why2,reason1,pressure_authorities,Pressure from authorities,Cadaadis maamulka ah,,,,,
disp_why2,reason1,pressure_hc,Pressure from host communities,Cadaadis dadka deegaanka ah ,,,,,
disp_why2,reason1,eviction,Eviction,Dhul/Guri ka saarid,,,,,
disp_why2,reason1,none,None,Midnaba,,,,,
disp_why2,reason1,dontknow,I don't know or don’t want to answer,Ma garanayo ama ma doonayo inaan ka jawaabo,,,,,
dest_loc_why1,reason2,no_conflict,No conflict,Aan dagaalo jirin,,,,,
dest_loc_why1,reason2,work_income,Availability of work/ income opportunities,Helida shaqo iyo fursad dhaqaale sameyn,,,,,
dest_loc_why1,reason2,health_ser,Presence of health services,Jiritaanka/helitaanka adeeg caafimaad,,,,,
dest_loc_why1,reason2,educ_ser,Presence of education services,Jiritaanka/helitaanka adeeg waxbarasho,,,,,
dest_loc_why1,reason2,food_dist,Presence of food distribution/food aid,Helitaanka kaalmo raashiin,,,,,
dest_loc_why1,reason2,local_food,Availability of local food (market/cultivation),Helitaanka raashiinka dalka (Suuqa ama beerasho),,,,,
dest_loc_why1,reason2,shelter,Presence of shelter,Helitaanka aqal/hooy/guri,,,,,
dest_loc_why1,reason2,water,Presence of water,Helitaanka biyo,,,,,
dest_loc_why1,reason2,cash,Presence of cash distribution,Helitaanka lacag qeybinta,,,,,
dest_loc_why1,reason2,protection,Presence of physical protection actors,Jiritaanka difaac/ilaalo,,,,,
dest_loc_why1,reason2,family,To join family/community,In aan ku biiro qoyskeyga,,,,,
dest_loc_why1,reason2,none,None,Midnaba,,,,,
dest_loc_why1,reason2,dontknow,I don't know or don’t want to answer,Ma garanayo ama ma doonayo inaan ka jawaabo,,,,,
dest_loc_why2,reason2,no_conflict,No conflict,Aan dagaalo jirin,,,,,
