"","names.questionnaire.choices_per_variable..x.","list_name","name","label..english","label..somali","country","area","district","region","choice"
"2210","district_idp","district","lughaye","Lughaye","Lughaye","","","","awdal",""
"2310","district_idp","district","zeylac","Zeylac","Zeylac","","","","awdal",""
"2410","district_idp","district","ceel_barde","Ceel Barde","Ceel Barde","","","","bakool",""
"251","district_idp","district","rab_dhuure","Rab Dhuure","Rab Dhuure","","","","bakool",""
"2610","district_idp","district","tayeeglow","Tayeeglow","Tayeeglow","","","","bakool",""
"273","district_idp","district","waajid","Waajid","Waajid","","","","bakool",""
"281","district_idp","district","xudur","Xudur","Xudur","","","","bakool",""
"291","district_idp","district","mogadishu","Mogadishu","Mogadishu","","","","banadir",""
"301","district_idp","district","mogadishu_boondheere","Mogadishu-Boondheere","Mogadishu-Boondheere","","","","banadir",""
"3110","district_idp","district","mogadishu_cabdulcasiis","Mogadishu-Cabdulcasiis","Mogadishu-Cabdulcasiis","","","","banadir",""
"3210","district_idp","district","mogadishu_daynile","Mogadishu-Daynile","Mogadishu-Daynile","","","","banadir",""
"3310","district_idp","district","mogadishu_dharkenley","Mogadishu-Dharkenley","Mogadishu-Dharkenley","","","","banadir",""
"3410","district_idp","district","mogadishu_hawl_wadaag","Mogadishu-Hawl Wadaag","Mogadishu-Hawl Wadaag","","","","banadir",""
"356","district_idp","district","mogadishu_heliwa","Mogadishu-Heliwa","Mogadishu-Heliwa","","","","banadir",""
"361","district_idp","district","mogadishu_hodan","Mogadishu-Hodan","Mogadishu-Hodan","","","","banadir",""
"3710","district_idp","district","mogadishu_karaan","Mogadishu-Karaan","Mogadishu-Karaan","","","","banadir",""
"383","district_idp","district","mogadishu_shangaani","Mogadishu-Shangaani","Mogadishu-Shangaani","","","","banadir",""
"3910","district_idp","district","mogadishu_shibis","Mogadishu-Shibis","Mogadishu-Shibis","","","","banadir",""
"402","district_idp","district","mogadishu_waaberi","Mogadishu-Waaberi","Mogadishu-Waaberi","","","","banadir",""
"411","district_idp","district","mogadishu_wadajir","Mogadishu-Wadajir","Mogadishu-Wadajir","","","","banadir",""
"4210","district_idp","district","mogadishu_wardhiigleey","Mogadishu-Wardhiigleey","Mogadishu-Wardhiigleey","","","","banadir",""
"437","district_idp","district","mogadishu_xamar_jabjab","Mogadishu-Xamar Jabjab","Mogadishu-Xamar Jabjab","","","","banadir",""
"441","district_idp","district","mogadishu_xamar_weyne","Mogadishu-Xamar Weyne","Mogadishu-Xamar Weyne","","","","banadir",""
"451","district_idp","district","mogadishu_yaaqshiid","Mogadishu-Yaaqshiid","Mogadishu-Yaaqshiid","","","","banadir",""
"461","district_idp","district","bandarbayla","Bandarbayla","Bandarbayla","","","","bari",""
"478","district_idp","district","bossaso","Bossaso","Bossaso","","","","bari",""
"481","district_idp","district","caluula","Caluula","Caluula","","","","bari",""
"491","district_idp","district","iskushuban","Iskushuban","Iskushuban","","","","bari",""
"501","district_idp","district","qandala","Qandala","Qandala","","","","bari",""
"5110","district_idp","district","qardho","Qardho","Qardho","","","","bari",""
"526","district_idp","district","baidoa","Baidoa","Baidoa","","","","bay",""
"531","district_idp","district","buur_hakaba","Buur Hakaba","Buur Hakaba","","","","bay",""
"541","district_idp","district","diinsoor","Diinsoor","Diinsoor","","","","bay",""
"551","district_idp","district","qansax_dheere","Qansax Dheere","Qansax Dheere","","","","bay",""
"5610","district_idp","district","cabudwaaq","Cabudwaaq","Cabudwaaq","","","","galgaduud",""
"575","district_idp","district","cadaado","Cadaado","Cadaado","","","","galgaduud",""
"581","district_idp","district","ceel_buur","Ceel Buur","Ceel Buur","","","","galgaduud",""
"5910","district_idp","district","ceel_dheer","Ceel Dheer","Ceel Dheer","","","","galgaduud",""
"6010","district_idp","district","dhuusamarreeb","Dhuusamarreeb","Dhuusamarreeb","","","","galgaduud",""
"6110","district_idp","district","baardheere","Baardheere","Baardheere","","","","gedo",""
"6210","district_idp","district","belet_xaawo","Belet Xaawo","Belet Xaawo","","","","gedo",""
"6310","district_idp","district","ceel_waaq","Ceel Waaq","Ceel Waaq","","","","gedo",""
"6410","district_idp","district","doolow","Doolow","Doolow","","","","gedo",""
"6510","district_idp","district","garbahaarey","Garbahaarey","Garbahaarey","","","","gedo",""
"6610","district_idp","district","luuq","Luuq","Luuq","","","","gedo",""
"6710","district_idp","district","belet_weyne","Belet Weyne","Belet Weyne","","","","hiraan",""
"682","district_idp","district","bulo_burto","Bulo Burto","Bulo Burto","","","","hiraan",""
"6910","district_idp","district","jalalaqsi","Jalalaqsi","Jalalaqsi","","","","hiraan",""
"7010","district_idp","district","afmadow","Afmadow","Afmadow","","","","lower_juba",""
"7110","district_idp","district","badhaadhe","Badhaadhe","Badhaadhe","","","","lower_juba",""
"7210","district_idp","district","jamaame","Jamaame","Jamaame","","","","lower_juba",""
"7310","district_idp","district","afgooye","Afgooye","Afgooye","","","","lower_shabelle",""
"7410","district_idp","district","baraawe","Baraawe","Baraawe","","","","lower_shabelle",""
"758","district_idp","district","kurtunwaarey","Kurtunwaarey","Kurtunwaarey","","","","lower_shabelle",""
"761","district_idp","district","marka","Marka","Marka","","","","lower_shabelle",""
"7710","district_idp","district","qoryooley","Qoryooley","Qoryooley","","","","lower_shabelle",""
"7810","district_idp","district","sablaale","Sablaale","Sablaale","","","","lower_shabelle",""
"7910","district_idp","district","wanla_weyn","Wanla Weyn","Wanla Weyn","","","","lower_shabelle",""
"8010","district_idp","district","buaale","Buaale","Buaale","","","","middle_juba",""
"8110","district_idp","district","jilib","Jilib","Jilib","","","","middle_juba",""
"8210","district_idp","district","sakow","Sakow","Sakow","","","","middle_juba",""
"8310","district_idp","district","aden_yabaal","Aden Yabaal","Aden Yabaal","","","","middle_shabelle",""
"848","district_idp","district","balcad","Balcad","Balcad","","","","middle_shabelle",""
"8510","district_idp","district","cadale","Cadale","Cadale","","","","middle_shabelle",""
"8610","district_idp","district","jowhar","Jowhar","Jowhar","","","","middle_shabelle",""
"8710","district_idp","district","gaalkacyo","Gaalkacyo","Gaalkacyo","","","","mudug",""
"8810","district_idp","district","galdogob","Galdogob","Galdogob","","","","mudug",""
"8910","district_idp","district","hobyo","Hobyo","Hobyo","","","","mudug",""
"9010","district_idp","district","jariiban","Jariiban","Jariiban","","","","mudug",""
"9110","district_idp","district","xarardheere","Xarardheere","Xarardheere","","","","mudug",""
"9210","district_idp","district","burtinle","Burtinle","Burtinle","","","","nugaal",""
"938","district_idp","district","eyl","Eyl","Eyl","","","","nugaal",""
"941","district_idp","district","garowe","Garowe","Garowe","","","","nugaal",""
"951","district_idp","district","ceel_afweyn","Ceel Afweyn","Ceel Afweyn","","","","sanaag",""
"961","district_idp","district","ceerigaabo","Ceerigaabo","Ceerigaabo","","","","sanaag",""
"971","district_idp","district","laasqoray","Laasqoray","Laasqoray","","","","sanaag",""
"981","district_idp","district","caynabo","Caynabo","Caynabo","","","","sool",""
"991","district_idp","district","laas_caanood","Laas Caanood","Laas Caanood","","","","sool",""
"1001","district_idp","district","taleex","Taleex","Taleex","","","","sool",""
"1011","district_idp","district","xudun","Xudun","Xudun","","","","sool",""
"1021","district_idp","district","burco","Burco","Burco","","","","togdheer",""
"1031","district_idp","district","buuhoodle","Buuhoodle","Buuhoodle","","","","togdheer",""
"1041","district_idp","district","owdweyne","Owdweyne","Owdweyne","","","","togdheer",""
"1051","district_idp","district","sheikh","Sheikh","Sheikh","","","","togdheer",""
"1061","district_idp","district","berbera","Berbera","Berbera","","","","woqooyi_galbeed",""
"1071","district_idp","district","gebiley","Gebiley","Gebiley","","","","woqooyi_galbeed",""
"1081","district_idp","district","hargeysa","Hargeysa","Hargeysa","","","","woqooyi_galbeed",""
"139","returnee_country","return_country","kenya","Kenya","Kenya","","","","",""
"140","returnee_country","return_country","ethiopia","Ethiopia","Ethiopia","","","","",""
"141","returnee_country","return_country","yemen","Yemen","Yemen","","","","",""
"142","returnee_country","return_country","uganda","Uganda","Uganda","","","","",""
"143","returnee_country","return_country","djibouti","Djibouti","Djibouti","","","","",""
"144","returnee_country","return_country","egypt","Egypt","Egypt","","","","",""
"145","returnee_country","return_country","eritrea","Eritrea","Eritrea","","","","",""
"146","returnee_country","return_country","tanzania","Tanzania","Tanzania","","","","",""
"147","returnee_country","return_country","other","Other","Wax kale","","","","",""
"148","returnee_area","return_area","dollo_ado","Dollo Ado","Dollo Ado","ethiopia","","","",""
"149","returnee_area","return_area","jijiga","Jijiga","Jijiga","ethiopia","","","",""
"150","returnee_area","return_area","addis_ababa","Addis Ababa","Addis Ababa","ethiopia","","","",""
"151","returnee_area","return_area","other","Other","Wax kale","ethiopia","","","",""
"152","returnee_area","return_area","dadaab","Dadaab","Dadaab","kenya","","","",""
"153","returnee_area","return_area","kakuma","Kakuma","Kakuma","kenya","","","",""
"154","returnee_area","return_area","nairobi","Nairobi","Nairobi","kenya","","","",""
"155","returnee_area","return_area","other","Other","Wax kale","kenya","","","",""
"156","returnee_settlement","return_settlement","melkadida","Melkadida","Melkadida","","dollo_ado","","",""
"157","returnee_settlement","return_settlement","kobe","Kobe","Kobe","","dollo_ado","","",""
"158","returnee_settlement","return_settlement","hilaweyn","Hilaweyn","Hilaweyn","","dollo_ado","","",""
"159","returnee_settlement","return_settlement","bokolmanyo","Bokolmanyo","Bokolmanyo","","dollo_ado","","",""
"160","returnee_settlement","return_settlement","buramino","Buramino","Buramino","","dollo_ado","","",""
