FID *,admin2Name *,admin2Pcod,admin2RefN,admin1Pcod,admin0Name,admin0Pcod,LGA_Name,A1,A2,A3
35,Akko,NG016001,Akko,NG016,Nigeria,NG,AKKO,10,10,80
36,Akoko-Edo,NG012001,Akoko-Edo,NG012,Nigeria,NG,AKOKO-EDO,15.4,38.5,46.2
37,Akoko North East,NG029001,Akoko North East,NG029,Nigeria,NG,AKOKO NORTH EAST,35,30,35
38,Akoko North West,NG029002,Akoko North West,NG029,Nigeria,NG,AKOKO NORTH WEST,46.7,13.3,40
39,Akoko South East,NG029003,Akoko South East,NG029,Nigeria,NG,AKOKO SOUTH EAST,15.4,46.2,38.5
40,Akoko South West,NG029004,Akoko South West,NG029,Nigeria,NG,AKOKO SOUTH WEST,7.7,61.5,30.8
41,Akuku Toru,NG033004,Akuku Toru,NG033,Nigeria,NG,AKUKU TORU,30.8,23.1,46.2
42,Akure North,NG029005,Akure North,NG029,Nigeria,NG,AKURE NORTH,27.3,27.3,45.5
43,Akure South,NG029006,Akure South,NG029,Nigeria,NG,AKURE SOUTH,66.7,6.7,26.7
44,Akwanga,NG026001,Akwanga,NG026,Nigeria,NG,AKWANGA,46.7,40,13.3
45,Albasu,NG020002,Albasu,NG020,Nigeria,NG,ALBASU,31.6,36.8,31.6
46,Aleiro,NG022001,Aleiro,NG022,Nigeria,NG,ALEIRO,43.5,43.5,13
47,Alimosho,NG025003,Alimosho,NG025,Nigeria,NG,ALIMOSHO,36.4,40.9,22.7
48,Alkaleri,NG005001,Alkaleri,NG005,Nigeria,NG,ALKALERI,28.6,42.9,28.6
49,Amuwo-Odofin,NG025004,Amuwo-Odofin,NG025,Nigeria,NG,AMUWO-ODOFIN,25,50,25
50,Anambra East,NG004002,Anambra East,NG004,Nigeria,NG,ANAMBRA EAST,70,20,10
51,Anambra West,NG004003,Anambra West,NG004,Nigeria,NG,ANAMBRA WEST,25.9,37,37
52,Anaocha,NG004004,Anaocha,NG004,Nigeria,NG,ANAOCHA,47.4,15.8,36.8
53,Andoni,NG033005,Andoni,NG033,Nigeria,NG,ANDONI,15,50,35
54,Aninri,NG014001,Aninri,NG014,Nigeria,NG,ANINRI,50,5.6,44.4
55,Aniocha North,NG010001,Aniocha North,NG010,Nigeria,NG,ANIOCHA NORTH,5.9,58.8,35.3
56,Aniocha South,NG010002,Aniocha South,NG010,Nigeria,NG,ANIOCHA SOUTH,15.4,38.5,46.2
57,Anka,NG037001,Anka,NG037,Nigeria,NG,ANKA,42.9,9.5,47.6
58,Ankpa,NG023003,Ankpa,NG023,Nigeria,NG,ANKPA,38.5,23.1,38.5
59,Apa,NG007003,Apa,NG007,Nigeria,NG,APA,33.3,33.3,33.3
60,Apapa,NG025005,Apapa,NG025,Nigeria,NG,APAPA,46.7,33.3,20
61,Ardo-Kola,NG035001,Ardo-Kola,NG035,Nigeria,NG,ARDO-KOLA,38.9,50,11.1
62,Arewa-Dandi,NG022002,Arewa-Dandi,NG022,Nigeria,NG,AREWA-DANDI,18.2,54.5,27.3
63,Argungu,NG022003,Argungu,NG022,Nigeria,NG,ARGUNGU,40,33.3,26.7
64,Arochukwu,NG001003,Arochukwu,NG001,Nigeria,NG,AROCHUKWU,50,22.2,27.8
65,Asa,NG024001,Asa,NG024,Nigeria,NG,ASA,37.5,37.5,25
66,Asari-Toru,NG033006,Asari-Toru,NG033,Nigeria,NG,ASARI-TORU,41.7,29.2,29.2
67,Atakumosa East,NG030003,Atakumosa East,NG030,Nigeria,NG,ATAKUMOSA EAST,34.6,38.5,26.9
68,Atakumosa West,NG030004,Atakumosa West,NG030,Nigeria,NG,ATAKUMOSA WEST,42.9,9.5,47.6
69,Atiba,NG031003,Atiba,NG031,Nigeria,NG,ATIBA,50,25,25
70,Atigbo,NG031004,Atigbo,NG031,Nigeria,NG,ATIGBO,38.1,42.9,19
71,Augie,NG022004,Augie,NG022,Nigeria,NG,AUGIE,29.4,41.2,29.4
72,Auyo,NG018001,Auyo,NG018,Nigeria,NG,AUYO,41.7,41.7,16.7
73,Awe,NG026002,Awe,NG026,Nigeria,NG,AWE,40,50,10
74,Awgu,NG014002,Awgu,NG014,Nigeria,NG,AWGU,33.3,40,26.7
75,Awka North,NG004005,Awka North,NG004,Nigeria,NG,AWKA NORTH,50,25,25
76,Awka South,NG004006,Awka South,NG004,Nigeria,NG,AWKA SOUTH,23.5,17.6,58.8
77,Ayamelum,NG004007,Ayamelum,NG004,Nigeria,NG,AYAMELUM,64.3,14.3,21.4
78,Babura,NG018002,Babura,NG018,Nigeria,NG,BABURA,28.6,35.7,35.7
79,Badagry,NG025006,Badagry,NG025,Nigeria,NG,BADAGRY,50,5,45
80,Bade,NG036001,Bade,NG036,Nigeria,NG,BADE,40,6.7,53.3
81,Bagudo,NG022005,Bagudo,NG022,Nigeria,NG,BAGUDO,16.7,25,58.3
82,Bagwai,NG020003,Bagwai,NG020,Nigeria,NG,BAGWAI,50,25,25
83,Akpabuyo,NG009003,Akpabuyo,NG009,Nigeria,NG,AKPABUYO,27.8,22.2,50
84,Bakori,NG021001,Bakori,NG021,Nigeria,NG,BAKORI,5.9,47.1,47.1
85,Bakura,NG037002,Bakura,NG037,Nigeria,NG,BAKURA,43.5,43.5,13
86,Balanga,NG016002,Balanga,NG016,Nigeria,NG,BALANGA,12.5,62.5,25
87,Bali,NG035002,Bali,NG035,Nigeria,NG,BALI,16.7,55.6,27.8
88,Barikin Ladi,NG032001,Barikin Ladi,NG032,Nigeria,NG,BARIKIN LADI,37.5,50,12.5
89,Baruten,NG024002,Baruten,NG024,Nigeria,NG,BARUTEN,30.8,46.2,23.1
90,Bassa,NG023004,Bassa,NG023,Nigeria,NG,BASSA,31.6,31.6,36.8
91,Bassa,NG032002,Bassa,NG032,Nigeria,NG,BASSA,23.5,41.2,35.3
92,Batagarawa,NG021002,Batagarawa,NG021,Nigeria,NG,BATAGARAWA,23.1,69.2,7.7
93,Batsari,NG021003,Batsari,NG021,Nigeria,NG,BATSARI,42.9,38.1,19
94,Bauchi,NG005002,Bauchi,NG005,Nigeria,NG,BAUCHI,42.9,28.6,28.6
95,Baure,NG021004,Baure,NG021,Nigeria,NG,BAURE,13.6,40.9,45.5
96,Bebeji,NG020004,Bebeji,NG020,Nigeria,NG,BEBEJI,33.3,42.9,23.8
97,Bekwara,NG009006,Bekwara,NG009,Nigeria,NG,BEKWARA,33.3,33.3,33.3
98,Bende,NG001004,Bende,NG001,Nigeria,NG,BENDE,10.5,42.1,47.4
99,Biase,NG009007,Biase,NG009,Nigeria,NG,BIASE,11.1,44.4,44.4
100,Bichi,NG020005,Bichi,NG020,Nigeria,NG,BICHI,25,50,25
101,Bida,NG027003,Bida,NG027,Nigeria,NG,BIDA,26.7,46.7,26.7
102,Billiri,NG016003,Billiri,NG016,Nigeria,NG,BILLIRI,28,32,40
103,Bindawa,NG021005,Bindawa,NG021,Nigeria,NG,BINDAWA,15.8,42.1,42.1
104,Binji,NG034001,Binji,NG034,Nigeria,NG,BINJI,38.5,23.1,38.5
105,Biriniwa,NG018003,Biriniwa,NG018,Nigeria,NG,BIRINIWA,20,60,20
106,Birni Kudu,NG018004,Birni Kudu,NG018,Nigeria,NG,BIRNI KUDU,15.8,31.6,52.6
107,Birnin-Gwari,NG019001,Birnin-Gwari,NG019,Nigeria,NG,BIRNIN-GWARI,38.1,14.3,47.6
108,Birnin Kebbi,NG022006,Birnin Kebbi,NG022,Nigeria,NG,BIRNIN KEBBI,40.9,18.2,40.9
109,Birnin Magaji,NG037003,Birnin Magaji,NG037,Nigeria,NG,BIRNIN MAGAJI,6.7,53.3,40
110,Bodinga,NG034002,Bodinga,NG034,Nigeria,NG,BODINGA,35,35,30
111,Bogoro,NG005003,Bogoro,NG005,Nigeria,NG,BOGORO,40,20,40
112,Boki,NG009008,Boki,NG009,Nigeria,NG,BOKI,14.3,57.1,28.6
113,Bokkos,NG032003,Bokkos,NG032,Nigeria,NG,BOKKOS,15.8,36.8,47.4
114,Boluwaduro,NG030005,Boluwaduro,NG030,Nigeria,NG,BOLUWADURO,33.3,37,29.6
115,Bomadi,NG010003,Bomadi,NG010,Nigeria,NG,BOMADI,13.3,20,66.7
116,Bonny,NG033007,Bonny,NG033,Nigeria,NG,BONNY,42.1,15.8,42.1
117,Borgu,NG027004,Borgu,NG027,Nigeria,NG,BORGU,9.1,36.4,54.5
118,Boripe,NG030006,Boripe,NG030,Nigeria,NG,BORIPE,19,47.6,33.3
119,Bosso,NG027005,Bosso,NG027,Nigeria,NG,BOSSO,7.7,53.8,38.5
120,Brass,NG006001,Brass,NG006,Nigeria,NG,BRASS,20,30,50
121,Buji,NG018005,Buji,NG018,Nigeria,NG,BUJI,32,36,32
122,Bukkuyum,NG037004,Bukkuyum,NG037,Nigeria,NG,BUKKUYUM,33.3,40,26.7
123,Bungudu,NG037005,Bungudu,NG037,Nigeria,NG,BUNGUDU,16.7,58.3,25
124,Bunkure,NG020006,Bunkure,NG020,Nigeria,NG,BUNKURE,33.3,58.3,8.3
125,Bunza,NG022007,Bunza,NG022,Nigeria,NG,BUNZA,69.2,15.4,15.4
126,Bursari,NG036002,Bursari,NG036,Nigeria,NG,BURSARI,23.1,38.5,38.5
127,Buruku,NG007004,Buruku,NG007,Nigeria,NG,BURUKU,38.9,5.6,55.6
128,Burutu,NG010004,Burutu,NG010,Nigeria,NG,BURUTU,62.5,6.3,31.3
129,Bwari,NG015003,Bwari,NG015,Nigeria,NG,BWARI,18.8,56.3,25
130,Calabar-Municipal,NG009010,Calabar-Municipal,NG009,Nigeria,NG,CALABAR-MUNICIPAL,29.6,33.3,37
131,Calabar South,NG009009,Calabar South,NG009,Nigeria,NG,CALABAR SOUTH,31.3,12.5,56.3
132,Chanchaga,NG027006,Chanchaga,NG027,Nigeria,NG,CHANCHAGA,42.1,36.8,21.1
133,Charanchi,NG021006,Charanchi,NG021,Nigeria,NG,CHARANCHI,41.2,23.5,35.3
134,Chikun,NG019002,Chikun,NG019,Nigeria,NG,CHIKUN,23.5,29.4,47.1
135,Dala,NG020007,Dala,NG020,Nigeria,NG,DALA,52.6,5.3,42.1
136,Damaturu,NG036003,Damaturu,NG036,Nigeria,NG,DAMATURU,35.3,5.9,58.8
137,Damban,NG005004,Damban,NG005,Nigeria,NG,DAMBAN,36.4,54.5,9.1
138,Dambatta,NG020008,Dambatta,NG020,Nigeria,NG,DAMBATTA,36.8,26.3,36.8
139,Dan Musa,NG021007,Dan Musa,NG021,Nigeria,NG,DAN MUSA,16.7,41.7,41.7
140,Dandi,NG022008,Dandi,NG022,Nigeria,NG,DANDI,15,45,40
141,Dandume,NG021008,Dandume,NG021,Nigeria,NG,DANDUME,55.6,5.6,38.9
142,Dange-Shuni,NG034003,Dange-Shuni,NG034,Nigeria,NG,DANGE-SHUNI,17.6,58.8,23.5
143,Danja,NG021009,Danja,NG021,Nigeria,NG,DANJA,16.7,38.9,44.4
144,Darazo,NG005005,Darazo,NG005,Nigeria,NG,DARAZO,5.9,47.1,47.1
145,Dass,NG005006,Dass,NG005,Nigeria,NG,DASS,47.6,19,33.3
146,Daura,NG021010,Daura,NG021,Nigeria,NG,DAURA,5.9,47.1,47.1
147,Dawakin Kudu,NG020009,Dawakin Kudu,NG020,Nigeria,NG,DAWAKIN KUDU,53.8,38.5,7.7
148,Dawakin Tofa,NG020010,Dawakin Tofa,NG020,Nigeria,NG,DAWAKIN TOFA,10,50,40
149,Degema,NG033008,Degema,NG033,Nigeria,NG,DEGEMA,35,40,25
150,Dekina,NG023005,Dekina,NG023,Nigeria,NG,DEKINA,17.4,39.1,43.5
151,Demsa,NG002001,Demsa,NG002,Nigeria,NG,DEMSA,42.9,47.6,9.5
152,Doguwa,NG020011,Doguwa,NG020,Nigeria,NG,DOGUWA,30,20,50
153,Doma,NG026003,Doma,NG026,Nigeria,NG,DOMA,36.4,18.2,45.5
154,Donga,NG035003,Donga,NG035,Nigeria,NG,DONGA,30.8,46.2,23.1
155,Dukku,NG016004,Dukku,NG016,Nigeria,NG,DUKKU,37.5,50,12.5
156,Njikoka,NG004013,Njikoka,NG004,Nigeria,NG,NJIKOKA,27.3,27.3,45.5
157,Dutse,NG018006,Dutse,NG018,Nigeria,NG,DUTSE,30.8,38.5,30.8
158,Dutsi,NG021011,Dutsi,NG021,Nigeria,NG,DUTSI,42.9,38.1,19
159,Dutsin-Ma,NG021012,Dutsin-Ma,NG021,Nigeria,NG,DUTSIN-MA,45.5,36.4,18.2
160,Eastern Obolo,NG003002,Eastern Obolo,NG003,Nigeria,NG,EASTERN OBOLO,9.5,47.6,42.9
161,Ebonyi,NG011004,Ebonyi,NG011,Nigeria,NG,EBONYI,21.7,43.5,34.8
162,Edati,NG027007,Edati,NG027,Nigeria,NG,EDATI,5.3,47.4,47.4
163,Ede North,NG030007,Ede North,NG030,Nigeria,NG,EDE NORTH,33.3,33.3,33.3
164,Ede South,NG030008,Ede South,NG030,Nigeria,NG,EDE SOUTH,37,29.6,33.3
165,Edu,NG024003,Edu,NG024,Nigeria,NG,EDU,21.7,43.5,34.8
166,Efon,NG013003,Efon,NG013,Nigeria,NG,EFON,10.5,52.6,36.8
167,Egbado North,NG028004,Egbado North,NG028,Nigeria,NG,EGBADO NORTH,81.8,9.1,9.1
168,Egbado South,NG028005,Egbado South,NG028,Nigeria,NG,EGBADO SOUTH,66.7,13.3,20
169,Egbeda,NG031005,Egbeda,NG031,Nigeria,NG,EGBEDA,66.7,16.7,16.7
170,Egbedore,NG030009,Egbedore,NG030,Nigeria,NG,EGBEDORE,20,10,70
171,Egor,NG012002,Egor,NG012,Nigeria,NG,EGOR,25,62.5,12.5
172,Ehime-Mbano,NG017003,Ehime-Mbano,NG017,Nigeria,NG,EHIME-MBANO,35.7,28.6,35.7
173,Ejigbo,NG030010,Ejigbo,NG030,Nigeria,NG,EJIGBO,60,10,30
174,Ekeremor,NG006002,Ekeremor,NG006,Nigeria,NG,EKEREMOR,13.3,46.7,40
175,Eket,NG003003,Eket,NG003,Nigeria,NG,EKET,30.8,30.8,38.5
176,Ekiti,NG024004,Ekiti,NG024,Nigeria,NG,EKITI,7.7,30.8,61.5
177,Ekiti East,NG013004,Ekiti East,NG013,Nigeria,NG,EKITI EAST,30.4,26.1,43.5
178,Ekiti South West,NG013005,Ekiti South West,NG013,Nigeria,NG,EKITI SOUTH WEST,36,32,32
179,Ekiti West,NG013006,Ekiti West,NG013,Nigeria,NG,EKITI WEST,14.3,57.1,28.6
180,Ekwusigo,NG004009,Ekwusigo,NG004,Nigeria,NG,EKWUSIGO,13.3,20,66.7
181,Eleme,NG033009,Eleme,NG033,Nigeria,NG,ELEME,8.3,75,16.7
182,Emohua,NG033010,Emohua,NG033,Nigeria,NG,EMOHUA,50,16.7,33.3
183,Emure,NG013007,Emure,NG013,Nigeria,NG,EMURE,31.3,18.8,50
184,Enugu East,NG014003,Enugu East,NG014,Nigeria,NG,ENUGU EAST,7.7,53.8,38.5
185,Enugu North,NG014004,Enugu North,NG014,Nigeria,NG,ENUGU NORTH,21.4,71.4,7.1
186,Enugu South,NG014005,Enugu South,NG014,Nigeria,NG,ENUGU SOUTH,18.8,50,31.3
187,Epe,NG025007,Epe,NG025,Nigeria,NG,EPE,53.8,23.1,23.1
188,Esan Central,NG012003,Esan Central,NG012,Nigeria,NG,ESAN CENTRAL,38.5,26.9,34.6
189,Esan North East,NG012004,Esan North East,NG012,Nigeria,NG,ESAN NORTH EAST,31.3,50,18.8
190,Esan South East,NG012005,Esan South East,NG012,Nigeria,NG,ESAN SOUTH EAST,35.7,14.3,50
191,Esan West,NG012006,Esan West,NG012,Nigeria,NG,ESAN WEST,20,26.7,53.3
192,Ese-Odo,NG029007,Ese-Odo,NG029,Nigeria,NG,ESE-ODO,20,45,35
193,Esit - Eket,NG003004,Esit - Eket,NG003,Nigeria,NG,ESIT - EKET,16.7,44.4,38.9
194,Essien Udim,NG003005,Essien Udim,NG003,Nigeria,NG,ESSIEN UDIM,18.2,36.4,45.5
195,Etche,NG033011,Etche,NG033,Nigeria,NG,ETCHE,41.2,52.9,5.9
196,Ethiope East,NG010005,Ethiope East,NG010,Nigeria,NG,ETHIOPE EAST,9.1,45.5,45.5
197,Ethiope West,NG010006,Ethiope West,NG010,Nigeria,NG,ETHIOPE WEST,38.9,5.6,55.6
198,Eti-Osa,NG025008,Eti-Osa,NG025,Nigeria,NG,ETI-OSA,22.7,31.8,45.5
199,Etim Ekpo,NG003006,Etim Ekpo,NG003,Nigeria,NG,ETIM EKPO,66.7,26.7,6.7
200,Etinan,NG003007,Etinan,NG003,Nigeria,NG,ETINAN,42.1,10.5,47.4
201,Etsako Central,NG012007,Etsako Central,NG012,Nigeria,NG,ETSAKO CENTRAL,23.1,15.4,61.5
202,Etsako East,NG012008,Etsako East,NG012,Nigeria,NG,ETSAKO EAST,29.2,37.5,33.3
203,Etsako West,NG012009,Etsako West,NG012,Nigeria,NG,ETSAKO WEST,33.3,29.2,37.5
204,Etung,NG009011,Etung,NG009,Nigeria,NG,ETUNG,18.2,54.5,27.3
205,Ewekoro,NG028006,Ewekoro,NG028,Nigeria,NG,EWEKORO,40,20,40
206,Ezeagu,NG014006,Ezeagu,NG014,Nigeria,NG,EZEAGU,50,20,30
207,Ezinihitte,NG017004,Ezinihitte,NG017,Nigeria,NG,EZINIHITTE,17.6,41.2,41.2
208,Ezza North,NG011005,Ezza North,NG011,Nigeria,NG,EZZA NORTH,27.3,27.3,45.5
209,Ezza South,NG011006,Ezza South,NG011,Nigeria,NG,EZZA SOUTH,29.4,11.8,58.8
210,Fagge,NG020012,Fagge,NG020,Nigeria,NG,FAGGE,57.1,7.1,35.7
211,Fakai,NG022009,Fakai,NG022,Nigeria,NG,FAKAI,33.3,16.7,50
212,Faskari,NG021013,Faskari,NG021,Nigeria,NG,FASKARI,25,25,50
213,Fika,NG036004,Fika,NG036,Nigeria,NG,FIKA,60,33.3,6.7
214,Fufore,NG002002,Fufore,NG002,Nigeria,NG,FUFORE,25,50,25
215,Funakaye,NG016005,Funakaye,NG016,Nigeria,NG,FUNAKAYE,34.8,39.1,26.1
216,Fune,NG036005,Fune,NG036,Nigeria,NG,FUNE,26.7,13.3,60
217,Funtua,NG021014,Funtua,NG021,Nigeria,NG,FUNTUA,20,60,20
218,Gabasawa,NG020013,Gabasawa,NG020,Nigeria,NG,GABASAWA,27.8,33.3,38.9
219,Gada,NG034004,Gada,NG034,Nigeria,NG,GADA,32.1,32.1,35.7
220,Gagarawa,NG018007,Gagarawa,NG018,Nigeria,NG,GAGARAWA,18.2,27.3,54.5
221,Gamawa,NG005007,Gamawa,NG005,Nigeria,NG,GAMAWA,11.8,29.4,58.8
222,Ganjuwa,NG005008,Ganjuwa,NG005,Nigeria,NG,GANJUWA,43.5,34.8,21.7
223,Ganye,NG002003,Ganye,NG002,Nigeria,NG,GANYE,20,30,50
224,Garki,NG018008,Garki,NG018,Nigeria,NG,GARKI,50,33.3,16.7
225,Garko,NG020014,Garko,NG020,Nigeria,NG,GARKO,50,43.8,6.3
226,Garum Mallam,NG020015,Garum Mallam,NG020,Nigeria,NG,GARUM MALLAM,36.4,36.4,27.3
227,Gashaka,NG035004,Gashaka,NG035,Nigeria,NG,GASHAKA,20,30,50
228,Gassol,NG035005,Gassol,NG035,Nigeria,NG,GASSOL,47.4,10.5,42.1
229,Gaya,NG020016,Gaya,NG020,Nigeria,NG,GAYA,25,12.5,62.5
230,Gbako,NG027008,Gbako,NG027,Nigeria,NG,GBAKO,50,37.5,12.5
231,Gboko,NG007005,Gboko,NG007,Nigeria,NG,GBOKO,17.6,47.1,35.3
232,Geidam,NG036006,Geidam,NG036,Nigeria,NG,GEIDAM,14.3,47.6,38.1
233,Gezawa,NG020017,Gezawa,NG020,Nigeria,NG,GEZAWA,7.1,21.4,71.4
234,Giade,NG005009,Giade,NG005,Nigeria,NG,GIADE,12.5,37.5,50
235,Gombi,NG002004,Gombi,NG002,Nigeria,NG,GOMBI,32.1,35.7,32.1
236,Giwa,NG019003,Giwa,NG019,Nigeria,NG,GIWA,4.8,47.6,47.6
237,Gokana,NG033012,Gokana,NG033,Nigeria,NG,GOKANA,52.6,36.8,10.5
238,Gombe,NG016006,Gombe,NG016,Nigeria,NG,GOMBE,45.5,18.2,36.4
239,Girei,NG002005,Girei,NG002,Nigeria,NG,GIREI,46.2,38.5,15.4
240,Goronyo,NG034006,Goronyo,NG034,Nigeria,NG,GORONYO,50,41.7,8.3
241,Gudu,NG034007,Gudu,NG034,Nigeria,NG,GUDU,69.2,7.7,23.1
242,Gujba,NG036007,Gujba,NG036,Nigeria,NG,GUJBA,22.2,27.8,50
243,Gulani,NG036008,Gulani,NG036,Nigeria,NG,GULANI,7.7,76.9,15.4
244,Guma,NG007006,Guma,NG007,Nigeria,NG,GUMA,37.5,37.5,25
245,Gumel,NG018009,Gumel,NG018,Nigeria,NG,GUMEL,6.3,43.8,50
246,Gummi,NG037006,Gummi,NG037,Nigeria,NG,GUMMI,50,6.3,43.8
247,Gurara,NG027009,Gurara,NG027,Nigeria,NG,GURARA,47.1,23.5,29.4
248,Guri,NG018010,Guri,NG018,Nigeria,NG,GURI,36.4,18.2,45.5
249,Gusau,NG037007,Gusau,NG037,Nigeria,NG,GUSAU,7.7,46.2,46.2
250,Guyuk,NG002006,Guyuk,NG002,Nigeria,NG,GUYUK,50,11.1,38.9
251,Gwadabawa,NG034005,Gwadabawa,NG034,Nigeria,NG,GWADABAWA,36.8,31.6,31.6
252,Gwagwalada,NG015004,Gwagwalada,NG015,Nigeria,NG,GWAGWALADA,15.4,46.2,38.5
253,Gwale,NG020018,Gwale,NG020,Nigeria,NG,GWALE,47.6,9.5,42.9
254,Gwandu,NG022010,Gwandu,NG022,Nigeria,NG,GWANDU,11.8,29.4,58.8
255,Gwaram,NG018011,Gwaram,NG018,Nigeria,NG,GWARAM,32,36,32
256,Gwarzo,NG020019,Gwarzo,NG020,Nigeria,NG,GWARZO,15.4,23.1,61.5
257,Gwer East,NG007007,Gwer East,NG007,Nigeria,NG,GWER EAST,5.9,41.2,52.9
258,Gwer West,NG007008,Gwer West,NG007,Nigeria,NG,GWER WEST,35.3,41.2,23.5
259,Gwiwa,NG018012,Gwiwa,NG018,Nigeria,NG,GWIWA,18.8,18.8,62.5
260,Hadejia,NG018013,Hadejia,NG018,Nigeria,NG,HADEJIA,27.8,50,22.2
261,Hong,NG002007,Hong,NG002,Nigeria,NG,HONG,47.1,11.8,41.2
262,Ibadan North,NG031006,Ibadan North,NG031,Nigeria,NG,IBADAN NORTH,36.4,45.5,18.2
263,Ibadan North East,NG031007,Ibadan North East,NG031,Nigeria,NG,IBADAN NORTH EAST,41.7,50,8.3
264,Ibadan North West,NG031008,Ibadan North West,NG031,Nigeria,NG,IBADAN NORTH WEST,38.5,7.7,53.8
265,Ibadan South East,NG031009,Ibadan South East,NG031,Nigeria,NG,IBADAN SOUTH EAST,47.4,42.1,10.5
266,Ibadan South West,NG031010,Ibadan South West,NG031,Nigeria,NG,IBADAN SOUTH WEST,14.3,14.3,71.4
267,Ibaji,NG023006,Ibaji,NG023,Nigeria,NG,IBAJI,11.1,38.9,50
268,Ibarapa Central,NG031011,Ibarapa Central,NG031,Nigeria,NG,IBARAPA CENTRAL,52.6,21.1,26.3
269,Ibarapa East,NG031012,Ibarapa East,NG031,Nigeria,NG,IBARAPA EAST,42.9,50,7.1
270,Ibarapa North,NG031013,Ibarapa North,NG031,Nigeria,NG,IBARAPA NORTH,19,33.3,47.6
271,Ibeju/Lekki,NG025009,Ibeju/Lekki,NG025,Nigeria,NG,IBEJU/LEKKI,28.6,35.7,35.7
272,Ibeno,NG003008,Ibeno,NG003,Nigeria,NG,IBENO,31.3,37.5,31.3
273,Ibesikpo Asutan,NG003009,Ibesikpo Asutan,NG003,Nigeria,NG,IBESIKPO ASUTAN,52.6,5.3,42.1
